STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
09,001,010101,4476,+41.069652,-073.680252
09,001,010102,4330,+41.098209,-073.633946
09,001,010201,3421,+41.060589,-073.623112
09,001,010202,5359,+41.060037,-073.590143
09,001,010300,4010,+41.037675,-073.636567
09,001,010400,5290,+41.024331,-073.658912
09,001,010500,5494,+41.016571,-073.642155
09,001,010600,1845,+41.029142,-073.626251
09,001,010700,3579,+41.028667,-073.617661
09,001,010800,3388,+41.039227,-073.599779
09,001,010900,4870,+41.049516,-073.576130
09,001,011000,5263,+41.028465,-073.565528
09,001,011100,4894,+41.031161,-073.582058
09,001,011200,1733,+41.015311,-073.623821
09,001,011300,3219,+41.002713,-073.654645
09,001,020100,3523,+41.054469,-073.541672
09,001,020200,3687,+41.124373,-073.589477
09,001,020300,7263,+41.149039,-073.565880
09,001,020400,3586,+41.120550,-073.549787
09,001,020500,4896,+41.081023,-073.568711
09,001,020600,4952,+41.094679,-073.553784
09,001,020700,4352,+41.105309,-073.528663
09,001,020800,2939,+41.091121,-073.542052
09,001,020900,4906,+41.095759,-073.518919
09,001,021000,3499,+41.084399,-073.525226
09,001,021100,5976,+41.072119,-073.524686
09,001,021200,4177,+41.074570,-073.540571
09,001,021300,4422,+41.063585,-073.551818
09,001,021400,6690,+41.051644,-073.558513
09,001,021500,6303,+41.050099,-073.549919
09,001,021600,7151,+41.062598,-073.539353
09,001,021700,7354,+41.056667,-073.531584
09,001,021801,4334,+41.063774,-073.527069
09,001,021802,5408,+41.060886,-073.516657
09,001,021900,5713,+41.049145,-073.510307
09,001,022000,2959,+41.052906,-073.514282
09,001,022100,7213,+41.047951,-073.523616
09,001,022200,3186,+41.043059,-073.538556
09,001,022300,5763,+41.038046,-073.550967
09,001,022400,2391,+41.030429,-073.525677
09,001,030100,3502,+41.099800,-073.486924
09,001,030200,3442,+41.083709,-073.466437
09,001,030300,4156,+41.061844,-073.471443
09,001,030400,3958,+41.065001,-073.493422
09,001,030500,5674,+41.078370,-073.502935
09,001,035100,7406,+41.143442,-073.491069
09,001,035200,3316,+41.169322,-073.520622
09,001,035300,3937,+41.128174,-073.498568
09,001,035400,5079,+41.167937,-073.476747
09,001,042500,3719,+41.152996,-073.401519
09,001,042600,3911,+41.134775,-073.391244
09,001,042700,4578,+41.142361,-073.421312
09,001,042800,4606,+41.129738,-073.407202
09,001,042900,1651,+41.147342,-073.442508
09,001,043000,3090,+41.131208,-073.440135
09,001,043100,4341,+41.107563,-073.454946
09,001,043200,3074,+41.110160,-073.438887
09,001,043300,3196,+41.120887,-073.430384
09,001,043400,4471,+41.125602,-073.419230
09,001,043500,2604,+41.120533,-073.389808
09,001,043600,3080,+41.116552,-073.402314
09,001,043700,2039,+41.115179,-073.413639
09,001,043800,7650,+41.112057,-073.427891
09,001,043900,5456,+41.090993,-073.436104
09,001,044000,5974,+41.097935,-073.426112
09,001,044100,3509,+41.095853,-073.418585
09,001,044200,3994,+41.101860,-073.405554
09,001,044300,3898,+41.101622,-073.396032
09,001,044400,3572,+41.087553,-073.415597
