to_coast_0,to_coast_1,house_type_0,house_type_1,gender,race,edu_0,edu_1,job,child
1,0,0,0,1,0,0,1,1,0
1,0,0,0,1,0,1,0,1,0
1,0,0,0,1,0,0,0,1,1
1,0,0,0,1,0,1,0,1,0
1,0,0,1,0,0,0,0,0,1
1,0,0,0,1,0,0,0,1,1
1,0,0,0,0,1,0,1,1,0
1,0,0,1,0,0,0,1,1,0
1,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,0,1,1,1
1,0,0,0,1,0,1,0,1,0
1,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1,1,1
1,0,0,0,1,0,0,1,1,1
1,0,0,0,0,0,1,0,1,1
1,0,0,0,1,1,1,0,1,0
1,0,0,1,1,0,1,0,1,1
1,0,0,0,0,1,1,0,0,0
1,0,0,1,0,1,1,0,1,0
1,0,0,0,0,0,0,1,1,0
1,0,0,0,1,0,0,1,0,1
1,0,0,0,0,0,0,1,1,0
1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,0,0,1,0
1,0,0,0,1,0,1,0,0,1
1,0,0,0,1,0,1,0,1,1
1,0,0,0,1,1,1,0,1,1
1,0,0,0,0,0,0,1,0,0
1,0,0,0,0,1,1,0,1,0
1,0,0,1,1,0,0,1,0,0
1,0,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,1,0
1,0,0,0,1,1,0,1,1,0
1,0,0,0,0,0,0,1,1,0
1,0,0,1,1,0,1,0,0,0
1,0,0,0,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,0
1,0,0,1,0,1,0,1,1,0
1,0,0,0,0,0,1,0,1,0
1,0,0,0,0,1,1,0,1,0
1,0,0,0,0,1,1,0,1,0
1,0,0,0,0,1,1,0,1,0
1,0,0,0,0,0,1,0,0,1
1,0,0,0,0,1,1,0,1,1
1,0,0,0,0,1,0,1,1,0
1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,0
1,0,0,0,1,1,1,0,1,0
1,0,0,0,1,1,1,0,1,0
1,0,0,0,0,0,1,0,1,0
1,0,0,0,1,1,0,0,1,1
1,0,0,1,1,0,1,0,1,0
1,0,0,0,1,0,1,0,1,1
1,0,0,1,0,0,1,0,1,1
1,0,0,1,0,1,1,0,1,1
1,0,0,1,0,0,0,1,1,1
1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,1,1,0,0,1
1,0,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,1,0,1
1,0,0,0,0,0,0,1,1,0
1,0,0,0,1,0,1,0,0,1
1,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1,1,0
1,0,0,0,0,1,1,0,1,0
1,0,0,0,1,0,0,1,1,1
1,0,0,1,1,1,0,1,1,0
1,0,0,0,0,0,1,0,1,0
1,0,0,1,0,1,0,1,1,1
1,0,0,1,1,0,0,1,1,1
1,0,0,0,0,1,1,0,1,0
1,0,0,0,1,1,1,0,1,0
1,0,0,0,1,0,1,0,1,1
1,0,0,1,1,0,1,0,0,0
1,0,0,0,1,0,0,1,1,0
1,0,0,0,0,1,0,1,1,0
1,0,0,0,0,0,1,0,1,1
1,0,0,1,0,0,0,1,1,1
1,0,0,0,1,0,1,0,1,0
1,0,0,0,1,1,0,1,1,0
1,0,0,0,1,1,1,0,1,0
1,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,1,0,0
1,0,0,0,1,0,1,0,0,1
1,0,0,0,1,0,0,1,1,0
1,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,1,0,1,0
1,0,0,0,0,0,0,1,1,1
1,0,0,0,1,1,0,0,1,1
1,0,0,0,0,1,0,1,1,0
1,0,0,1,1,0,1,0,1,0
1,0,0,0,1,0,0,1,1,0
1,0,0,1,1,1,1,0,1,0
1,0,0,1,0,1,0,0,1,0
1,0,0,0,0,1,1,0,1,0
1,0,0,0,1,1,0,0,1,0
1,0,0,0,0,0,1,0,1,1
1,0,0,0,1,1,0,1,1,0
1,0,0,0,0,1,1,0,1,1
1,0,0,0,1,0,0,1,0,1
1,0,0,1,1,0,1,0,1,1
1,0,0,0,0,1,0,1,1,0
1,0,0,0,1,0,0,1,0,0
1,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,1,0,1,0
1,0,0,0,0,1,0,1,1,1
1,0,0,0,0,1,1,0,0,0
1,0,0,0,1,1,1,0,1,1
1,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,1,1,0
1,0,0,0,1,0,1,0,1,0
1,0,0,1,1,0,0,1,0,0
1,0,0,0,0,0,1,0,1,0
1,0,0,1,1,0,0,1,1,0
1,0,0,0,1,0,0,1,1,0
1,0,0,0,0,0,0,1,1,1
1,0,0,0,1,0,1,0,0,0
1,0,0,0,1,1,0,1,1,1
1,0,0,0,0,0,0,1,1,1
1,0,0,0,1,1,0,1,0,0
1,0,0,1,0,1,1,0,1,0
1,0,0,0,1,0,1,0,1,1
