# to_coast_0,to_coast_1,house_type_0,house_type_1,gender,race,edu_0,edu_1,job,child,evac
b,a,a,a,a,a,b,a,b,a,y
a,b,b,a,a,b,a,b,b,b,y
a,a,a,a,a,a,a,b,a,a,n
a,a,a,a,a,b,a,a,b,b,n
a,b,a,a,a,b,b,a,b,a,y
b,a,a,a,b,b,a,b,b,a,y
b,a,a,a,b,a,b,a,b,b,y
a,b,a,b,a,b,b,a,b,a,y
a,b,a,a,a,b,b,a,b,a,y
a,b,a,a,a,b,a,b,b,b,y
a,a,a,a,b,b,b,a,b,a,n
b,a,a,a,b,b,b,a,a,a,y
a,a,a,b,b,b,b,a,b,b,n
b,a,a,a,a,b,a,b,a,a,y
a,b,a,a,a,b,a,b,a,a,y
a,b,a,a,b,a,b,a,b,a,y
a,b,a,a,a,a,a,a,b,a,y
b,a,a,b,a,a,b,a,b,b,y
b,a,a,b,a,a,b,a,b,b,y
a,a,a,b,b,b,b,a,b,a,n
a,b,a,a,a,b,b,a,b,b,y
a,a,a,a,b,a,b,a,b,a,n
a,a,a,a,a,b,a,a,b,b,n
b,a,a,b,b,b,b,a,b,b,y
a,a,a,a,b,a,a,a,b,b,n
a,a,a,a,a,b,b,a,b,a,n
a,a,a,b,b,a,b,a,b,a,n
a,b,a,a,b,a,a,b,b,b,n
a,a,a,b,a,b,b,a,b,b,n
a,b,a,a,b,a,a,b,b,a,n
a,b,a,a,a,b,b,a,a,a,y
a,a,a,a,b,b,b,a,a,b,n
a,b,a,a,a,b,a,a,a,b,y
b,a,a,a,a,a,b,a,b,a,y
b,a,a,b,b,b,b,a,b,b,y
a,a,a,a,a,a,b,a,b,a,n
b,a,a,a,b,a,b,a,b,b,y
a,b,a,a,a,a,b,a,b,b,y
b,a,a,a,b,a,a,a,a,b,y
a,a,a,a,a,b,b,a,a,a,n
b,a,a,b,b,a,a,b,b,a,y
b,a,a,a,a,b,b,a,b,a,y
b,a,a,a,b,a,b,a,b,b,y
a,b,a,b,a,b,b,a,b,a,y
b,a,a,a,a,b,b,a,b,a,y
b,a,a,a,a,a,b,a,a,b,y
b,a,a,b,a,b,b,a,b,a,y
a,b,a,a,b,a,a,a,b,a,y
a,a,a,a,a,a,b,a,b,a,n
b,a,a,b,b,a,b,a,b,a,y
a,a,a,a,b,a,b,a,a,a,n
b,a,a,a,a,b,b,a,a,a,y
a,b,a,a,a,b,b,a,b,a,y
b,a,a,a,a,b,a,b,b,a,y
b,a,a,b,a,b,b,a,b,a,y
a,a,a,a,b,b,a,b,b,b,n
b,a,a,a,b,a,a,a,b,b,y
a,b,a,a,a,a,b,a,b,b,y
a,b,a,a,a,a,b,a,b,a,y
b,a,a,a,a,a,b,a,b,a,y
a,a,a,a,b,a,b,a,b,a,n
a,a,a,a,a,a,a,a,b,b,n
b,a,a,b,b,b,b,a,a,a,y
b,a,a,a,b,b,b,a,b,b,y
a,a,a,a,b,b,a,b,b,b,n
a,a,a,a,b,a,b,a,b,a,n
b,a,a,b,b,a,a,b,a,b,y
a,b,a,a,a,a,b,a,b,a,y
b,a,a,a,a,a,b,a,b,a,y
a,b,a,a,a,a,b,a,b,a,y
a,a,a,a,b,a,b,a,b,a,n
a,a,a,a,a,b,b,a,b,b,n
a,a,a,a,b,b,b,a,b,b,n
a,a,a,a,b,b,b,a,b,a,n
b,a,a,a,a,b,a,b,a,a,y
a,a,a,a,b,a,b,a,a,b,n
a,a,a,b,a,a,b,a,a,a,n
b,a,a,a,b,a,b,a,b,b,y
a,a,a,a,a,a,b,a,a,a,n
b,a,a,a,b,a,b,a,b,a,y
a,a,a,a,a,a,b,a,b,b,n
a,a,a,a,a,a,b,a,a,a,n
a,b,a,a,b,a,a,b,b,b,n
a,b,a,a,b,a,a,b,a,a,n
a,b,a,a,a,b,a,b,b,a,y
b,a,a,a,a,a,a,b,b,a,y
b,a,a,a,a,a,b,a,a,b,y
a,b,a,a,b,a,a,b,a,a,n
b,a,a,b,a,b,b,a,b,a,y
a,a,a,b,a,b,b,a,a,a,n
b,a,a,a,b,b,b,a,b,a,y
b,a,a,a,a,a,b,a,b,a,y
a,b,a,a,a,a,b,a,b,a,y
b,a,a,a,a,b,a,b,b,a,y
b,a,a,b,a,b,a,b,b,a,y
a,a,a,a,a,a,b,a,b,a,n
b,a,a,a,a,a,b,a,b,b,y
a,b,a,b,a,a,b,a,a,a,y
b,a,a,b,a,b,b,a,b,a,y
a,b,a,a,b,a,b,a,b,b,y
b,a,a,a,a,b,b,a,b,a,y
a,a,a,a,a,a,a,b,b,a,n
a,b,a,b,a,b,a,b,a,a,y
a,a,a,b,a,b,b,a,b,a,n
a,a,a,a,a,a,b,a,a,b,n
a,a,a,b,a,b,b,a,b,b,n
a,b,a,a,a,a,b,a,a,a,y
