state,samp,gender,q1110,q99,q102,q103,q104,q105,q106,q112,q113,q2
FL,franklin county,male,white or caucasian,58.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",post graduate,"no, did not evacuate"
FL,santa rosa county,female,white or caucasian,50.0,2.0,0.0,0.0,own,no [skip to q108],,some college,"no, did not evacuate"
FL,gulf county,female,white or caucasian,60.0,2.0,0.0,0.0,own,yes,"$40,000 to $79,999",some college,"no, did not evacuate"
FL,franklin county,female,hispanic,65.0,2.0,0.0,0.0,own,no [skip to q108],"$25,000 to $39,999",post graduate,"yes, evacuated"
FL,escambia county,female,white or caucasian,61.0,1.0,,,own,yes,"$25,000 to $39,999",some high school,"no, did not evacuate"
FL,walton county,male,white or caucasian,53.0,3.0,1.0,0.0,own,yes,"over $80,000",some college,"yes, evacuated"
FL,santa rosa county,female,other,45.0,5.0,3.0,0.0,own,yes,"over $80,000",post graduate,"yes, evacuated"
FL,escambia county,female,white or caucasian,41.0,2.0,1.0,0.0,own,no [skip to q108],"$25,000 to $39,999",college graduate,"no, did not evacuate"
FL,bay county,male,white or caucasian,37.0,6.0,4.0,0.0,own,yes,"$15,000 to $24,999",some college,"yes, evacuated"
FL,bay county,male,white or caucasian,50.0,2.0,0.0,0.0,own,no [skip to q108],"$40,000 to $79,999",high school graduate,"no, did not evacuate"
FL,santa rosa county,male,,68.0,2.0,0.0,0.0,own,no [skip to q108],,some college,"no, did not evacuate"
FL,monroe county,female,white or caucasian,42.0,2.0,0.0,0.0,own,yes,"over $80,000",post graduate,"yes, evacuated"
FL,inland counties,male,white or caucasian,75.0,2.0,0.0,0.0,own,no [skip to q108],"$40,000 to $79,999",high school graduate,"yes, evacuated"
FL,inland counties,male,white or caucasian,67.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",some high school,"no, did not evacuate"
FL,santa rosa county,male,asian,59.0,2.0,0.0,0.0,own,no [skip to q108],"$40,000 to $79,999",some college,"no, did not evacuate"
FL,santa rosa county,female,white or caucasian,,1.0,,,own,yes,"less than $15,000",college graduate,"yes, evacuated"
FL,inland counties,female,white or caucasian,66.0,3.0,0.0,0.0,other,yes,,some college,"yes, evacuated"
FL,escambia county,female,white or caucasian,40.0,5.0,3.0,0.0,own,yes,"over $80,000",college graduate,"no, did not evacuate"
FL,escambia county,male,white or caucasian,72.0,2.0,0.0,0.0,own,no [skip to q108],"$25,000 to $39,999",some college,"no, did not evacuate"
FL,okaloosa county,male,other,40.0,2.0,0.0,0.0,own,yes,,some college,"no, did not evacuate"
FL,okaloosa county,male,white or caucasian,40.0,2.0,0.0,0.0,own,yes,"over $80,000",college graduate,"yes, evacuated"
FL,santa rosa county,female,white or caucasian,79.0,1.0,,,own,yes,"$15,000 to $24,999",some high school,"yes, evacuated"
FL,escambia county,male,white or caucasian,81.0,1.0,,,own,yes,"less than $15,000",some high school,"yes, evacuated"
FL,santa rosa county,male,,,,,,own,no [skip to q108],,,"no, did not evacuate"
