age,male,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,have_child,have_elder,income_above_4k,college_edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick_cement,coast_dist,elevation,issued_mandatory,issued_voluntary,heard_order,od_voluntary,od_mandatory,know_evac_zone,ez_in_zone,ez_not_in_zone,src_local_radio,src_local_tv,src_cable_cnn,src_cable_weather_channel,src_cable_other,src_internet,importance_nhc,importance_local_media,trust_local_media,seek_local_weather_office,see_track_map,concern_wind,concern_fld_surge,concern_fld_rainfall,concern_tornado,sf_cat4_water,sf_cat4_wind_water,sf_cat3_water,sf_cat3_wind_water,sf_cat2_water,sf_cat2_wind_water,evac
48.0,0,1,0,0,0,0,4.0,1.0,0.0,0.0,1,1,1,1,0,0,1,0,3.74721457445,13.1,1,0,1.0,1,0,1,1,0,3,2,0,3,2,1,2.0,1.0,1.0,0.0,1.0,2.0,1,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0
44.0,1,1,0,0,0,0,3.0,1.0,0.0,1.0,1,1,1,1,0,0,0,1,8.72362351965,72.9,0,0,0.0,0,0,1,1,0,2,3,1,1,3,0,2.0,2.0,1.0,0.0,1.0,2.0,1,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1
43.0,0,1,0,0,0,0,4.0,1.0,0.0,0.0,0,1,0,1,0,0,0,0,7.58731363716,68.9,0,0,0.0,0,0,1,0,1,0,3,3,3,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
76.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,1.33727045426,14.1,1,0,1.0,1,0,0,0,0,3,3,0,1,3,0,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0
58.0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,1.33727045426,14.1,1,0,0.0,0,0,0,0,0,0,2,0,3,0,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1
45.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,3.74721457445,13.1,1,0,0.0,0,0,1,1,0,2,2,3,3,2,1,1.0,0.0,1.0,0.0,1.0,2.0,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0
59.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,1,0,3.90288486353,4.9,1,0,0.0,0,0,1,1,0,1,3,0,1,1,0,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0
47.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,8.72362351965,72.9,0,0,0.0,0,0,0,0,0,3,3,0,3,0,0,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0
61.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,1.33727045426,14.1,1,0,1.0,0,1,1,1,0,2,2,0,3,2,2,2.0,1.0,1.0,1.0,1.0,0.0,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0
46.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,3.74721457445,13.1,1,0,1.0,0,1,1,1,0,3,3,1,3,3,1,2.0,2.0,1.0,1.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40.0,0,1,0,0,0,0,4.0,0.0,0.0,0.0,1,1,1,1,0,0,0,1,14.1659611662,99.2,0,0,0.0,0,0,1,0,1,3,3,3,3,1,0,2.0,2.0,1.0,0.0,1.0,2.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
