age,male,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,have_child,have_elder,income_above_4k,college_edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick_cement,coast_dist,elevation,issued_mandatory,issued_voluntary,evac
58.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,0,1,1.11590786616,0.0,0,0,0
50.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,20.569203971,211.1,0,0,0
60.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,1.53953288829,26.7,0,0,0
65.0,0,0,0,1,0,0,2.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1,1.11590786616,0.0,0,0,1
61.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,8.85945358769,149.4,1,0,0
53.0,1,1,0,0,0,0,3.0,1.0,0.0,1.0,0,1,1,1,0,0,0,1,0.923735829039,18.9,0,0,1
45.0,0,0,0,0,0,0,5.0,1.0,0.0,1.0,1,1,1,1,0,0,0,1,2.02333718579,0.0,0,0,1
41.0,0,1,0,0,0,0,2.0,1.0,0.0,0.0,1,1,0,1,0,0,0,1,2.34033202078,64.3,1,0,0
37.0,1,1,0,0,0,0,6.0,1.0,0.0,0.0,0,1,1,0,1,0,0,0,0.904074593135,11.2,1,0,1
50.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,0.904074593135,11.2,1,0,0
68.0,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0.827932450894,3.6,0,0,0
42.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,4.88240194821,0.0,0,0,1
75.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,0,1,0,0,0,19.9685622058,228.6,0,0,1
67.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,48.0573427165,81.5,0,0,0
59.0,1,0,0,0,0,1,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,0,6.41765787353,96.8,0,0,0
77.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,20.569203971,211.1,0,0,1
66.0,0,1,0,0,0,0,3.0,0.0,0.0,1.0,0,0,1,0,1,0,0,0,16.8502595827,109.0,0,0,1
40.0,0,1,0,0,0,0,5.0,1.0,0.0,1.0,1,1,1,1,0,0,0,1,1.86591274655,21.7,1,0,0
72.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,1.78736442911,90.7,1,0,0
40.0,1,0,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,0.728852638111,36.3,1,0,0
40.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,3.67286224885,58.5,1,0,1
79.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,1.34210213579,56.5,0,0,1
81.0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,14.7458777664,185.8,1,0,1
23.0,1,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,2.54452685595,9.5,1,0,0
