index,no_01,no_02,no_03,no_other,no_other_code
1,30,,,,
2,29,,,WE FELT IT WAS NOT NECESSARY,30
3,5,,,,
5,28,,,,
8,29,,,THIS IS MY HOME,0
10,29,,,MEDIA WAS FALSE,0
11,4,,,,
14,1,,,,
15,29,,,WE HAVE SHELTERS NEAR BY,0
18,29,,,DIDN'T WANT TO,0
19,6,,,,
20,1,2,,,
24,29,,,DIDN'T WANT TO GO,0
25,30,,,,
26,5,,,,
28,29,,,LIVE FURTHER INLAND.,34
29,7,,,,
30,14,,,,
31,1,,,,
32,10,,,,
33,6,,,,
34,30,,,,
36,6,,,,
38,25,,,,
39,6,,,,
40,1,,,,
41,29,,,I DID NOT WORRY ABOUT IT,30
43,6,,,,
44,5,,,,
45,6,,,,
46,15,,,,
47,1,,,,
48,19,,,,
49,6,,,,
50,26,14,,,
52,24,,,,
53,24,,,,
54,12,,,,
55,24,,,,
56,17,2,6,,
57,6,,,,
59,1,,,,
60,6,,,,
64,29,,,FIRST HURRICANE AND WANTED TO STAY HOME,0
65,6,,,,
66,4,,,,
69,16,,,,
70,29,,,WANTED TO STAY HOME,0
71,29,,,UNDER MEDICATION,28
72,17,,,,
73,17,,,,
74,18,,,,
75,12,,,,
76,5,,,,
78,21,18,,,
79,29,,,THOUGHT THEY WERE READY,0
81,7,6,,,
82,4,,,,
84,17,,,,
85,16,,,,
91,1,,,,
92,18,,,,
94,29,,,BECAUSE I'VE ALWAYS STAYED; IF IT'S GONNA GET YA UT'S GONNA GET YA,"33,31"
95,6,7,5,,
97,6,,,,
98,12,,,,
99,8,,,,
100,6,,,,
101,5,24,,,
102,18,,,,
103,6,24,29,HAD FRIENDS OVER,0
104,29,,,I JUST FELT I DIDNT NEED TO,30
107,1,,,,
108,19,,,,
109,6,,,,
110,1,,,,
112,14,,,,
113,29,,,DONT LIVE NEAR WATER,34
114,4,,,,
116,6,,,,
117,19,,,,
119,6,,,,
120,28,,,,
121,29,,,I JUST CHOSE TO STAYHOME,0
122,11,,,,
125,6,,,,
126,1,,,,
129,15,,,,
131,24,6,,,
132,6,26,,,
133,4,1,,,
134,13,,,,
135,17,,,,
136,21,1,,,
137,16,,,,
138,5,,,,
140,24,,,,
142,18,,,,
143,7,12,,,
144,7,,,,
145,29,,,"HAS STAYED IN AREA B4, DECIDED TO STAY ONE MORE TIME",33
146,17,,,,
147,12,,,,
148,1,,,,
149,12,,,,
150,1,,,,
152,6,,,,
153,4,,,,
154,30,,,,
155,29,,,PERSONAL DECISION,0
156,6,,,,
157,17,,,,
164,4,,,,
165,29,,,DID NOT FEEL LIKE I NEEDED TO.,30
166,29,,,STAYING WITH THREE HOUSES,16
168,6,,,,
170,4,14,6,,
172,7,,,,
173,4,,,,
174,29,,,PERSONAL,0
177,6,,,,
178,16,,,,
180,6,18,,,
181,21,3,,,
183,17,,,,
184,29,,,"FAMILY STAYED DURING PREV STORMS, DECIDED TO STAY ALSO",33
185,25,,,,
188,6,,,,
189,28,,,,
191,1,,,,
194,3,,,,
196,6,,,,
198,19,,,,
199,29,,,WAS NOT AUTHORIZED TO,0
203,10,12,,,
204,21,,,,
206,14,,,,
207,1,,,,
210,6,,,,
212,1,,,,
213,7,,,,
214,6,,,,
216,6,,,,
217,12,13,,,
218,6,,,,
220,6,,,,
221,28,,,,
222,30,,,,
224,13,,,,
227,1,13,,,
228,29,,,HAD TO STAY IN TOWN,0
229,12,5,,,
230,21,,,,
231,19,,,,
233,4,,,,
234,6,,,,
235,27,,,,
236,29,,,JUST DIDNT FEEL IT WAS NECESARY,30
238,28,,,,
240,4,,,,
242,6,,,,
244,6,,,,
245,4,,,,
246,13,,,,
247,6,,,,
248,29,,,WE JUST DON'T EVACUATE,33
249,6,,,,
250,6,,,,
251,21,,,,
253,14,,,,
254,6,,,,
255,21,,,,
258,1,,,,
260,29,,,GOD-ALMIGHTY LOOKS AFTER ME.,31
263,4,,,,
264,4,,,,
265,6,,,,
266,21,,,,
267,23,,,,
268,17,,,,
269,30,,,,
270,1,,,,
271,10,4,,,
272,6,,,,
274,18,,,,
275,4,,,,
277,13,,,,
278,6,,,,
281,24,,,,
282,6,,,,
284,18,,,,
286,4,,,,
287,6,,,,
288,6,,,,
290,24,,,,
291,24,,,,
293,24,,,,
296,7,,,,
297,13,,,,
298,16,,,,
299,1,,,,
300,6,,,,
301,17,,,,
305,6,,,,
307,1,,,,
308,6,,,,
309,17,,,,
311,4,,,,
312,6,17,,,
313,4,1,,,
315,14,,,,
316,4,,,,
317,24,6,,,
319,15,12,24,,
321,6,,,,
322,30,,,,
323,1,,,,
324,29,,,PERSONAL PREFERENCE,0
328,6,,,,
330,16,12,,,
331,6,24,,,
332,29,,,WE WERE FOOLS,0
337,14,,,,
338,4,,,,
339,6,,,,
340,6,,,,
342,15,,,,
343,6,,,,
344,4,,,,
345,6,,,PREDICTIONS,0
348,6,,,,
351,13,,,,
352,6,,,,
354,1,,,,
355,6,,,,
356,15,16,,,
357,14,,,,
358,6,,,,
359,1,,,,
361,26,6,,,
362,4,,,,
364,14,,,,
365,6,,,,
366,1,,,,
367,6,,,,
369,4,,,,
370,29,,,GODS WITH US,31
373,24,,,,
374,14,,,,
375,14,,,,
376,6,,,,
377,6,,,,
378,6,,,,
379,21,,,,
380,6,,,,
381,6,18,22,,
382,4,,,,
383,1,,,,
385,28,,,,
386,14,,,,
