zip, lat, log, elevation
32320, 29.731734, -85.111872, 9.5	
32322, 29.953398, -84.579036, 12.6	
32328, 29.751831, -84.909118, 0.0	
32401, 30.159737, -85.660922, 25.5	
32404, 30.189031, -85.506785, 53.2	
32405, 30.202068, -85.667403, 34.8	
32407, 30.198324, -85.790694, 9.5	
32408, 30.142185, -85.732678, 0.0	
32409, 30.356756, -85.653691, 65.4	
32413, 30.310300, -85.905314, 15.1	
32420, 30.632365, -85.384570, 290.3	
32421, 30.524992, -85.172630, 116.4	
32423, 30.943777, -85.048909, 120.5	
32424, 30.362385, -85.083060, 44.8	
32425, 30.853184, -85.720492, 91.3	
32426, 30.946886, -85.370413, 114.0	
32427, 30.710491, -85.792286, 57.3	
32428, 30.615750, -85.572945, 228.6	
32431, 30.787482, -85.410816, 144.4	
32433, 30.851178, -86.200838, 232.3	
32437, 30.436248, -85.909221, 10.2	
32438, 30.501235, -85.424174, 180.2	
32439, 30.468323, -86.112017, 30.9	
32440, 30.922426, -85.526190, 140.3	
32442, 30.678516, -85.016877, 196.6	
32443, 30.872521, -85.109420, 126.8	
32444, 30.239945, -85.651600, 11.2	
32445, 30.970520, -85.197338, 143.2	
32446, 30.848192, -85.231403, 111.4	
32448, 30.671012, -85.223312, 84.2	
32456, 29.838635, -85.298379, 26.7	
32459, 30.360668, -86.185532, 25.3	
32460, 30.764089, -84.954234, 81.5	
32462, 30.554200, -85.833399, 109.0	
32464, 30.902879, -85.952559, 91.9	
32465, 30.007868, -85.181889, 21.8	
32466, 30.394388, -85.512372, 88.1	
32501, 30.428781, -87.222515, 72.2	
32503, 30.459667, -87.213643, 38.5	
32504, 30.472486, -87.186673, 90.7	
32505, 30.454624, -87.260650, 87.3	
32506, 30.391628, -87.369394, 21.7	
32507, 30.340176, -87.374340, 17.9	
32514, 30.531268, -87.221604, 49.7	
32526, 30.499226, -87.365573, 64.3	
32533, 30.610506, -87.326783, 149.4	
32534, 30.528939, -87.281718, 107.2	
32535, 30.963698, -87.346175, 189.3	
32541, 30.392765, -86.469506, 18.9	
32542, 30.464551, -86.525167, 21.3	
32547, 30.474544, -86.667742, 58.5	
32548, 30.403001, -86.650482, 0.9	
32561, 30.347061, -87.113185, 0.0	
32565, 30.892603, -87.131683, 211.1	
