scalerank,featurecla
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
6.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
1.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
6.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
0.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
100.0,Null island
5.0,Coastline
5.0,Coastline
6.0,Coastline
3.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
3.0,Coastline
3.0,Coastline
5.0,Coastline
3.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
3.0,Coastline
3.0,Coastline
6.0,Coastline
3.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
5.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
3.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
5.0,Coastline
5.0,Coastline
6.0,Coastline
5.0,Coastline
6.0,Coastline
6.0,Coastline
5.0,Coastline
