age,male,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,have_child,have_elder,income_above_4k,college_edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick_cement,coast_dist,elevation,issued_mandatory,issued_voluntary,heard_order,od_voluntary,od_mandatory,know_evac_zone,ez_in_zone,ez_not_in_zone,src_local_radio,src_local_tv,src_cable_cnn,src_cable_weather_channel,src_cable_other,src_internet,importance_nhc,importance_local_media,trust_local_media,seek_local_weather_office,see_track_map,concern_wind,concern_fld_surge,concern_fld_rainfall,concern_tornado,sf_cat4_water,sf_cat4_wind_water,sf_cat3_water,sf_cat3_wind_water,sf_cat2_water,sf_cat2_wind_water,evac
39.0,1,1,0,0,0,0,5.0,1.0,0.0,0.0,0,1,1,1,0,0,0,1,5.57938804405,65.6,0,0,0.0,0,0,1,1,0,1,3,0,0,0,1,1.0,1.0,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
64.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,4.01276419239,91.3,0,0,1.0,0,1,0,0,0,3,3,0,0,0,0,1.0,1.0,1.0,1.0,1.0,2.0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1
41.0,0,1,0,0,0,0,3.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,17.9799284908,260.5,0,0,1.0,1,0,1,1,0,3,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
51.0,0,0,0,0,1,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,17.9799284908,260.5,0,0,0.0,0,0,1,0,1,1,3,1,0,3,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0
60.0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,4.01276419239,91.3,0,0,1.0,1,0,1,1,0,0,3,0,0,0,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0
63.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,0,1,5.92326752839,44.2,0,0,1.0,0,1,1,1,0,2,0,0,3,3,0,2.0,1.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
30.0,1,1,0,0,0,0,3.0,1.0,0.0,1.0,0,1,0,1,0,0,0,1,6.50261539888,169.4,0,0,0.0,0,0,0,0,0,3,3,0,3,0,0,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
65.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0.821239687314,63.5,0,0,0.0,0,0,1,1,0,0,0,1,0,0,3,2.0,1.0,1.0,0.0,1.0,2.0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1
73.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,4.01276419239,91.3,0,0,1.0,0,1,0,0,0,0,3,0,1,0,1,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1
52.0,0,1,0,0,0,0,4.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,5.92326752839,44.2,0,0,1.0,0,1,1,1,0,3,3,1,3,3,0,2.0,2.0,1.0,1.0,1.0,2.0,1,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1
35.0,0,0,1,0,0,0,4.0,1.0,0.0,1.0,0,1,1,0,1,0,0,0,14.6335510212,248.5,0,0,0.0,0,0,1,1,0,3,3,0,0,3,0,2.0,2.0,1.0,1.0,1.0,2.0,2,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0
35.0,0,1,0,0,0,0,5.0,1.0,0.0,1.0,1,1,1,1,0,0,0,1,8.58020781032,129.5,0,0,1.0,0,1,1,1,0,1,3,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
78.0,0,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,10.5951793574,153.0,0,0,0.0,0,0,0,0,0,3,3,2,3,1,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
61.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,5.57938804405,65.6,0,0,1.0,0,1,1,1,0,3,3,0,0,2,0,2.0,2.0,1.0,0.0,1.0,2.0,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1
22.0,1,0,1,0,0,0,5.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,1.26645295261,20.7,0,0,1.0,1,0,0,0,0,3,3,0,3,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1
83.0,1,1,0,0,0,0,2.0,0.0,1.0,0.0,1,1,0,0,0,0,0,0,0.821239687314,63.5,0,0,0.0,0,0,0,0,0,0,1,0,3,0,1,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
47.0,1,1,0,0,0,0,3.0,1.0,0.0,0.0,0,1,1,0,1,0,0,0,14.6335510212,248.5,0,0,1.0,1,0,0,0,0,3,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1
41.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,20.4586112749,257.5,0,0,0.0,0,0,1,1,0,1,2,0,0,0,3,1.0,1.0,0.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
27.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,0,1,0,0,0,3.65714119175,153.4,0,0,1.0,0,1,1,1,0,3,3,0,2,0,1,2.0,2.0,1.0,0.0,1.0,2.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
50.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,4.01276419239,91.3,0,0,0.0,0,0,0,0,0,1,3,3,3,3,0,2.0,1.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
32.0,0,1,0,0,0,0,5.0,1.0,0.0,0.0,0,1,0,1,0,0,0,1,9.3528146397,60.4,0,0,0.0,0,0,0,0,0,3,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,2,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1
45.0,0,1,0,0,0,0,3.0,0.0,0.0,1.0,1,1,1,1,0,0,0,0,8.58020781032,129.5,0,0,1.0,1,0,0,0,0,3,3,2,2,1,1,1.0,1.0,1.0,0.0,1.0,2.0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0
50.0,1,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,6.50261539888,169.4,0,0,0.0,0,0,0,0,0,0,3,3,1,0,1,0.0,2.0,1.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
69.0,1,1,0,0,0,0,3.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,4.33897895503,44.6,0,0,0.0,0,0,0,0,0,3,2,3,3,3,3,2.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0
46.0,0,1,0,0,0,0,3.0,0.0,1.0,0.0,1,0,0,1,0,0,0,1,1.06021991934,6.6,1,0,1.0,0,1,1,1,0,3,3,0,3,0,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1
56.0,1,0,0,0,1,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,0,5.92326752839,44.2,0,0,0.0,0,0,1,1,0,3,3,0,3,0,0,2.0,2.0,1.0,1.0,1.0,2.0,1,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1
46.0,0,0,1,0,0,0,2.0,0.0,1.0,0.0,1,1,0,1,0,0,0,1,3.59985320299,30.5,0,0,1.0,1,0,1,0,1,3,3,0,0,0,0,1.0,1.0,1.0,0.0,1.0,2.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
55.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,1,0,4.64277135982,9.0,0,0,0.0,0,0,1,0,1,3,3,0,2,3,0,2.0,2.0,1.0,1.0,1.0,1.0,0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0
18.0,1,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,6.86589464104,120.7,0,0,1.0,1,0,1,0,1,1,3,3,0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
43.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,3.3267096343,20.5,0,0,0.0,0,0,1,0,1,2,3,2,2,2,1,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
37.0,0,1,0,0,0,0,4.0,1.0,1.0,1.0,1,1,1,1,0,0,1,0,1.38892133377,11.9,1,0,1.0,0,1,1,1,0,3,3,0,0,0,1,2.0,2.0,0.0,0.0,1.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
50.0,0,1,0,0,0,0,3.0,1.0,0.0,0.0,1,0,1,1,0,0,0,1,14.6335510212,248.5,0,0,0.0,0,0,1,0,1,3,3,0,1,1,0,2.0,2.0,1.0,0.0,1.0,2.0,0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
79.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,3.3267096343,20.5,0,0,0.0,0,0,0,0,0,3,3,3,3,3,0,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0
63.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,5.03456790986,86.1,0,0,0.0,0,0,1,0,1,1,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
62.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,3.74387292133,32.9,0,0,0.0,0,0,1,0,1,2,3,0,0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0
25.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,4.01276419239,91.3,0,0,0.0,0,0,1,0,1,2,2,0,1,0,2,1.0,1.0,1.0,1.0,1.0,2.0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
50.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,10.4523917528,178.2,0,0,1.0,0,1,1,1,0,3,3,1,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1
51.0,1,1,0,0,0,0,3.0,1.0,0.0,1.0,0,1,1,1,0,0,0,1,3.65714119175,153.4,0,0,1.0,0,1,1,1,0,2,2,1,2,1,3,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1
43.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,1,1,0,1,0,0,1,0,3.65714119175,153.4,0,0,1.0,0,1,1,1,0,0,2,0,3,2,2,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1
57.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,4.33897895503,44.6,0,0,0.0,0,0,0,0,0,3,3,0,3,3,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
60.0,1,1,0,0,0,0,5.0,1.0,1.0,0.0,0,1,0,1,0,0,1,0,17.9799284908,260.5,0,0,1.0,0,1,0,0,0,2,2,0,0,0,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1
64.0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1.06021991934,6.6,1,0,0.0,0,0,1,1,0,1,3,1,1,1,1,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1
69.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0,8.47499001986,20.6,0,0,0.0,0,0,0,0,0,2,3,2,2,0,0,2.0,1.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
42.0,1,1,0,0,0,0,3.0,0.0,1.0,1.0,1,1,1,1,0,0,1,0,12.2049077107,188.3,0,0,0.0,0,0,1,0,1,1,3,0,0,0,0,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
81.0,1,1,0,0,0,0,2.0,0.0,1.0,0.0,0,1,1,1,0,0,1,0,14.6335510212,248.5,0,0,0.0,0,0,0,0,0,3,0,3,3,3,0,2.0,2.0,1.0,1.0,1.0,0.0,0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0
33.0,0,1,0,0,0,0,3.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,6.50261539888,169.4,0,0,0.0,0,0,1,1,0,1,3,0,2,2,0,2.0,2.0,1.0,0.0,1.0,2.0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
63.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,12.2049077107,188.3,0,0,0.0,0,0,1,0,1,0,3,0,0,0,0,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
73.0,1,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,0.659557308364,8.8,0,0,1.0,1,0,1,1,0,0,2,3,2,0,0,2.0,2.0,1.0,0.0,1.0,1.0,2,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0
60.0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.58248253368,31.5,0,0,0.0,0,0,0,0,0,0,3,0,0,0,0,1.0,2.0,1.0,0.0,1.0,1.0,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
42.0,1,0,0,1,0,0,4.0,1.0,0.0,1.0,1,1,0,1,0,0,0,1,5.03456790986,86.1,0,0,0.0,0,0,1,0,1,3,3,2,3,2,3,2.0,2.0,1.0,1.0,1.0,2.0,0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
56.0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,2.58248253368,31.5,0,0,0.0,0,0,0,0,0,0,3,0,0,0,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
