gender,r_white,have_child,income,edu,ht_single_fam,ht_mobile,coast_dist,evac
1,1,0,0,1,1,0,1.115907866,0
0,1,0,1,0,1,0,20.56920397,0
0,1,0,1,0,1,0,1.539532888,0
0,0,0,0,1,1,0,1.115907866,1
0,1,0,0,0,1,0,8.859453588,0
1,1,1,1,0,1,0,0.923735829,1
0,0,1,1,1,1,0,2.023337186,1
0,1,1,0,1,1,0,2.340332021,0
1,1,1,0,0,0,1,0.904074593,1
1,1,0,1,0,1,0,0.904074593,0
1,0,0,0,0,1,0,0.827932451,0
0,1,0,1,1,1,0,4.882401948,1
1,1,0,1,0,0,1,19.96856221,1
1,1,0,0,0,1,0,48.05734272,0
1,0,0,1,0,1,0,6.417657874,0
0,1,0,0,1,0,0,20.56920397,1
0,1,0,1,0,0,1,16.85025958,1
0,1,1,1,1,1,0,1.865912747,0
1,1,0,0,0,0,0,1.787364429,0
1,0,0,1,0,1,0,0.728852638,0
1,1,0,1,1,1,0,3.672862249,1
0,1,0,0,0,1,0,1.342102136,1
1,1,0,0,0,1,0,14.74587777,1
1,1,0,1,0,1,0,2.544526856,0
1,1,0,1,0,1,0,2.568035154,0
1,1,1,1,0,1,0,3.416588139,1
0,1,1,1,0,1,0,23.85937954,0
1,0,1,1,0,1,0,35.61838455,0
1,1,0,1,1,1,0,1.089101602,0
1,1,0,0,0,0,1,12.75867271,0
1,1,0,0,0,0,0,4.882401948,0
0,1,0,0,0,1,0,2.340332021,0
1,1,1,0,1,1,0,1.55214735,0
1,1,1,1,1,1,0,0.923735829,1
0,1,0,0,0,1,0,6.417657874,0
0,1,0,0,1,1,0,0.525346805,1
0,1,0,1,0,1,0,6.417657874,0
0,1,0,1,0,1,0,0.904074593,0
1,1,0,1,1,1,0,4.195833711,0
1,1,0,1,0,1,0,12.75867271,0
1,1,0,1,0,1,0,1.539532888,1
0,1,0,1,0,1,0,0.473529452,0
0,0,0,1,0,1,0,1.115907866,0
1,1,0,1,1,0,0,0.827932451,0
1,1,0,1,1,1,0,2.568035154,0
1,1,0,0,0,1,0,0.904074593,0
0,0,1,0,0,1,0,48.05734272,0
1,1,0,0,0,1,0,23.85937954,0
0,1,0,1,1,1,0,1.608052042,0
0,1,0,1,1,1,0,0.923735829,1
0,1,0,0,1,1,0,1.676215608,0
1,1,0,1,0,1,0,3.157585684,0
0,1,0,0,1,1,0,4.882401948,0
0,1,0,1,0,1,0,1.612987397,0
0,1,0,0,0,1,0,6.349388379,0
1,0,0,1,0,1,0,4.882401948,0
0,1,0,0,0,1,0,1.539532888,1
0,1,1,1,1,1,0,12.75867271,0
1,1,1,0,0,1,0,3.416588139,0
0,1,1,0,0,0,1,20.56920397,1
1,1,1,1,1,1,0,0.827932451,1
0,0,1,1,0,1,0,1.910242564,1
0,1,0,1,1,1,0,0.473529452,0
0,1,0,0,1,1,0,14.10229558,0
1,1,0,1,0,1,0,3.672862249,0
0,1,0,0,0,1,0,20.56920397,1
1,1,0,0,0,0,1,0.923735829,1
1,1,0,0,1,1,0,6.417657874,0
1,0,1,1,1,1,0,1.865912747,0
1,1,0,1,1,1,0,3.157585684,0
1,1,0,1,1,0,0,0.728852638,0
1,1,0,1,1,0,0,3.672862249,0
1,1,0,1,0,1,0,3.416588139,0
0,1,0,1,0,1,0,3.416588139,0
1,1,0,0,0,1,0,24.30223428,0
1,1,1,0,0,0,1,1.009873232,1
1,1,1,1,1,1,0,14.10229558,0
1,1,1,1,1,0,0,20.56920397,0
1,1,1,1,1,1,0,0.28423407,1
0,1,0,0,0,1,0,2.568035154,0
0,1,0,1,1,1,0,6.417657874,0
0,1,1,0,1,1,0,1.910242564,1
0,1,1,1,0,1,0,30.95612471,0
1,1,0,1,0,1,0,0.525346805,0
1,1,0,0,1,1,0,0.473529452,1
0,1,0,0,0,1,0,2.568035154,1
0,1,1,0,0,0,1,23.85937954,1
0,1,0,0,0,1,0,4.195833711,1
1,1,1,1,0,1,0,14.10229558,0
1,1,0,1,0,1,0,1.009873232,0
1,1,1,0,1,1,0,0.322380689,1
1,1,0,0,0,1,0,23.85937954,0
1,1,1,1,0,1,0,12.75867271,0
