male,r_white,r_black,r_hispanic,r_asian,r_native,have_child,income_above_4k,college_edu,ht_single_fam,ht_mobile,ht_condo,coast_dist,elevation,issued_mandatory,issued_voluntary,evac
1,1,0,0,0,0,1.0,0.0,0,1,0,0,5.57938804405,65.6,0,0,0
0,1,0,0,0,0,0.0,0.0,1,1,0,0,4.01276419239,91.3,0,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,17.9799284908,260.5,0,0,0
0,1,0,0,0,0,0.0,1.0,0,1,0,0,8.1871643533,123.8,0,0,0
0,0,0,0,1,0,0.0,1.0,1,1,0,0,17.9799284908,260.5,0,0,0
0,1,0,0,0,0,0.0,0.0,0,0,0,0,6.86589464104,120.7,0,0,1
0,0,1,0,0,0,0.0,0.0,1,0,1,0,4.01276419239,91.3,0,0,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,1.38892133377,11.9,1,0,1
0,1,0,0,0,0,0.0,0.0,1,1,0,0,5.92326752839,44.2,0,0,1
1,1,0,0,0,0,1.0,1.0,0,1,0,0,17.9799284908,260.5,0,0,0
1,1,0,0,0,0,0.0,0.0,1,1,0,0,4.64277135982,9.0,0,0,0
1,1,0,0,0,0,1.0,1.0,0,1,0,0,6.50261539888,169.4,0,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,9.3528146397,60.4,0,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,17.9799284908,260.5,0,0,0
1,1,0,0,0,0,1.0,1.0,0,1,0,0,5.92326752839,44.2,0,0,0
0,0,0,0,0,0,0.0,1.0,0,1,0,0,3.65714119175,153.4,0,0,1
1,1,0,0,0,0,0.0,0.0,0,0,0,0,0.821239687314,63.5,0,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,4.01276419239,91.3,0,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,5.92326752839,44.2,0,0,1
0,0,1,0,0,0,1.0,1.0,0,0,1,0,14.6335510212,248.5,0,0,0
