male,r_white,r_black,r_hispanic,r_asian,r_native,have_child,income_above_4k,college_edu,ht_single_fam,ht_mobile,ht_condo,coast_dist,elevation,issued_mandatory,issued_voluntary,evac
1,0,1,0,0,0,0.0,1.0,1,1,0,0,1.8054844338,0.0,0,1,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,10.5469708099,0.0,0,1,0
0,1,0,0,0,0,0.0,1.0,0,1,0,0,5.59795263816,3.2,0,1,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,8.90677460423,-5.4,0,1,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,6.16393371489,0.0,0,0,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,6.90006830956,2.0,1,0,1
1,1,0,0,0,0,0.0,1.0,0,0,1,0,5.08061049195,20.3,0,0,0
1,1,0,0,0,0,1.0,1.0,0,1,0,0,2.09022190259,3.6,0,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,0.912623878528,0.2,0,0,0
1,1,0,0,0,0,1.0,0.0,1,0,0,1,18.0436763177,0.0,1,0,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,7.84862525478,4.9,0,1,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,7.36217817152,4.9,0,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,0.912623878528,0.2,0,0,0
0,0,1,0,0,0,0.0,0.0,0,1,0,0,5.96156828097,2.8,0,0,0
1,0,1,0,0,0,1.0,1.0,0,0,1,0,4.19268340617,3.1,1,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,9.30617167755,3.8,0,0,0
0,1,0,0,0,0,1.0,1.0,1,1,0,0,14.6773700831,0.0,1,0,0
0,1,0,0,0,0,0.0,1.0,0,1,0,0,4.19268340617,3.1,1,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,7.36217817152,4.9,0,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,6.36782842395,2.3,1,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,7.34192503794,5.4,0,1,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,5.59795263816,3.2,0,1,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,1.74768869467,1.5,0,0,1
0,1,0,0,0,0,0.0,1.0,1,0,0,1,5.57286077742,2.9,0,1,1
1,1,0,0,0,0,0.0,0.0,1,1,0,0,7.36217817152,4.9,0,0,0
0,0,1,0,0,0,1.0,0.0,0,0,0,0,6.36782842395,2.3,1,0,1
1,0,1,0,0,0,1.0,1.0,0,0,1,0,0.912623878528,0.2,0,0,1
0,1,0,0,0,0,0.0,0.0,1,1,0,0,1.55418524956,0.0,0,1,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,13.4423293954,1.2,0,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,14.6773700831,0.0,1,0,1
1,0,1,0,0,0,0.0,0.0,0,1,0,0,13.1293674202,4.2,0,1,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,1.80869149098,0.0,0,1,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,18.0436763177,0.0,1,0,1
1,1,0,0,0,0,1.0,1.0,0,1,0,0,10.6333456201,40.8,0,0,0
0,1,0,0,0,0,1.0,1.0,1,1,0,0,18.416482176,113.1,0,0,0
