age,gender,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,num_child,num_elder,income,edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick,hm_cement,heard_order,src_local_radio,src_local_tv,src_cable_cnn,src_cable_weather_channel,src_cable_other,src_internet,importance_nhc,importance_local_media,trust_local_media,seek_local_weather_office,see_track_map,concern_wind,concern_fld_surge,concern_fld_rainfall,concern_tornado,sf_cat4_water,sf_cat4_wind_water,sf_cat3_water,sf_cat3_wind_water,sf_cat2_water,sf_cat2_wind_water,evac
58.0,0,1,0,0,0,0,2.0,0.0,0.0,3.0,5,1,1,1,0,0,0,1,0,1.0,1,3,0,0,1,3,2.0,2.0,1.0,0.0,1.0,2.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
65.0,1,0,0,1,0,0,2.0,0.0,0.0,3.0,5,1,0,1,0,0,0,0,1,1.0,3,2,2,1,2,0,2.0,2.0,1.0,0.0,1.0,2.0,2,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1
61.0,1,1,0,0,0,0,1.0,0.0,0.0,3.0,1,1,1,1,0,0,1,0,0,0.0,3,3,3,2,0,0,2.0,1.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
53.0,0,1,0,0,0,0,3.0,1.0,0.0,5.0,3,1,1,1,0,0,0,1,0,1.0,0,2,3,3,3,2,1.0,1.0,1.0,1.0,1.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45.0,1,0,0,0,0,0,5.0,3.0,0.0,5.0,5,1,1,1,0,0,0,1,0,0.0,0,0,0,3,0,1,2.0,0.0,0.0,0.0,1.0,1.0,2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1
41.0,1,1,0,0,0,0,2.0,1.0,0.0,3.0,4,1,0,1,0,0,0,1,0,1.0,3,3,3,3,2,1,2.0,2.0,1.0,1.0,1.0,2.0,1,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0
37.0,0,1,0,0,0,0,6.0,4.0,0.0,2.0,3,1,1,0,1,0,0,0,0,1.0,2,2,0,0,0,3,1.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1
50.0,0,1,0,0,0,0,2.0,0.0,0.0,4.0,2,1,0,1,0,0,0,1,0,0.0,2,0,0,3,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
75.0,0,1,0,0,0,0,2.0,0.0,0.0,4.0,2,1,0,0,1,0,0,0,0,1.0,0,1,0,3,0,0,1.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
59.0,0,0,0,0,0,1,2.0,0.0,0.0,4.0,3,1,0,1,0,0,0,0,0,0.0,3,2,0,0,0,0,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
40.0,1,1,0,0,0,0,5.0,3.0,0.0,5.0,4,1,1,1,0,0,0,1,0,0.0,2,3,3,3,0,0,2.0,2.0,1.0,1.0,1.0,2.0,2,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0
72.0,0,1,0,0,0,0,2.0,0.0,0.0,3.0,3,1,0,0,0,1,0,0,0,0.0,2,0,0,2,3,0,1.0,2.0,1.0,0.0,1.0,1.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
40.0,0,1,0,0,0,0,2.0,0.0,0.0,5.0,4,1,1,1,0,0,0,1,0,1.0,2,3,0,2,1,0,1.0,2.0,1.0,1.0,1.0,2.0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1
79.0,1,1,0,0,0,0,1.0,0.0,0.0,2.0,1,1,1,1,0,0,1,0,0,1.0,0,3,3,3,3,0,2.0,2.0,1.0,1.0,1.0,1.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
81.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,1,1,0,0,1,0,0,0.0,1,1,0,0,0,0,2.0,2.0,0.0,1.0,1.0,2.0,2,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1
23.0,0,1,0,0,0,0,3.0,0.0,0.0,5.0,3,1,0,1,0,0,0,0,1,0.0,3,2,0,3,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0
31.0,0,1,0,0,0,0,4.0,2.0,0.0,4.0,3,0,0,1,0,0,1,0,0,1.0,1,1,1,3,1,3,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1
21.0,1,1,0,0,0,0,3.0,1.0,0.0,4.0,3,1,1,1,0,0,1,0,0,0.0,3,3,1,3,1,0,2.0,2.0,1.0,0.0,1.0,1.0,1,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0
36.0,0,0,0,0,1,0,4.0,2.0,0.0,4.0,1,1,1,1,0,0,1,0,0,0.0,3,3,0,2,2,1,1.0,1.0,1.0,1.0,1.0,2.0,0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0
63.0,0,1,0,0,0,0,1.0,0.0,0.0,4.0,5,1,0,1,0,0,0,0,1,1.0,0,3,0,3,3,1,1.0,2.0,1.0,0.0,1.0,1.0,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
67.0,0,1,0,0,0,0,2.0,0.0,0.0,3.0,3,1,1,0,1,0,0,0,0,0.0,0,3,0,0,0,0,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0
48.0,0,1,0,0,0,0,2.0,0.0,0.0,2.0,2,1,1,0,0,0,0,0,0,0.0,2,3,0,3,2,3,2.0,2.0,1.0,1.0,1.0,2.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0
61.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,2,1,1,1,0,0,0,0,1,0.0,0,2,3,1,3,2,2.0,1.0,1.0,0.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
74.0,0,1,0,0,0,0,2.0,1.0,0.0,3.0,5,1,0,1,0,0,1,0,0,1.0,1,0,0,3,0,3,1.0,0.0,0.0,1.0,0.0,2.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
54.0,1,1,0,0,0,0,3.0,0.0,0.0,3.0,3,1,0,1,0,0,0,1,0,0.0,3,0,0,2,3,0,2.0,1.0,1.0,0.0,1.0,2.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
43.0,1,1,0,0,0,0,2.0,0.0,0.0,4.0,2,1,1,1,0,0,0,1,0,0.0,3,1,0,2,1,0,1.0,2.0,1.0,0.0,1.0,0.0,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
58.0,0,1,0,0,0,0,2.0,0.0,1.0,5.0,5,1,1,1,0,0,0,0,1,0.0,1,3,2,3,1,3,2.0,1.0,1.0,1.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
