state,county,race,gender,age,househd_size,num_child,num_elder,owner,pets,income,edu,evac
FL,franklin county,white or caucasian,male,58.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",post graduate,"no, did not evacuate"
FL,santa rosa county,white or caucasian,female,50.0,2.0,0.0,0.0,own,no [skip to q108],,some college,"no, did not evacuate"
FL,gulf county,white or caucasian,female,60.0,2.0,0.0,0.0,own,yes,"$40,000 to $79,999",some college,"no, did not evacuate"
FL,franklin county,hispanic,female,65.0,2.0,0.0,0.0,own,no [skip to q108],"$25,000 to $39,999",post graduate,"yes, evacuated"
FL,escambia county,white or caucasian,female,61.0,1.0,,,own,yes,"$25,000 to $39,999",some high school,"no, did not evacuate"
FL,walton county,white or caucasian,male,53.0,3.0,1.0,0.0,own,yes,"over $80,000",some college,"yes, evacuated"
FL,santa rosa county,other,female,45.0,5.0,3.0,0.0,own,yes,"over $80,000",post graduate,"yes, evacuated"
FL,escambia county,white or caucasian,female,41.0,2.0,1.0,0.0,own,no [skip to q108],"$25,000 to $39,999",college graduate,"no, did not evacuate"
FL,bay county,white or caucasian,male,37.0,6.0,4.0,0.0,own,yes,"$15,000 to $24,999",some college,"yes, evacuated"
FL,bay county,white or caucasian,male,50.0,2.0,0.0,0.0,own,no [skip to q108],"$40,000 to $79,999",high school graduate,"no, did not evacuate"
FL,santa rosa county,,male,68.0,2.0,0.0,0.0,own,no [skip to q108],,some college,"no, did not evacuate"
FL,monroe county,white or caucasian,female,42.0,2.0,0.0,0.0,own,yes,"over $80,000",post graduate,"yes, evacuated"
FL,inland counties,white or caucasian,male,75.0,2.0,0.0,0.0,own,no [skip to q108],"$40,000 to $79,999",high school graduate,"yes, evacuated"
FL,inland counties,white or caucasian,male,67.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",some high school,"no, did not evacuate"
FL,santa rosa county,asian,male,59.0,2.0,0.0,0.0,own,no [skip to q108],"$40,000 to $79,999",some college,"no, did not evacuate"
FL,santa rosa county,white or caucasian,female,,1.0,,,own,yes,"less than $15,000",college graduate,"yes, evacuated"
FL,inland counties,white or caucasian,female,66.0,3.0,0.0,0.0,other,yes,,some college,"yes, evacuated"
FL,escambia county,white or caucasian,female,40.0,5.0,3.0,0.0,own,yes,"over $80,000",college graduate,"no, did not evacuate"
FL,escambia county,white or caucasian,male,72.0,2.0,0.0,0.0,own,no [skip to q108],"$25,000 to $39,999",some college,"no, did not evacuate"
FL,okaloosa county,other,male,40.0,2.0,0.0,0.0,own,yes,,some college,"no, did not evacuate"
FL,okaloosa county,white or caucasian,male,40.0,2.0,0.0,0.0,own,yes,"over $80,000",college graduate,"yes, evacuated"
FL,santa rosa county,white or caucasian,female,79.0,1.0,,,own,yes,"$15,000 to $24,999",some high school,"yes, evacuated"
FL,escambia county,white or caucasian,male,81.0,1.0,,,own,yes,"less than $15,000",some high school,"yes, evacuated"
FL,santa rosa county,,male,,,,,own,no [skip to q108],,,"no, did not evacuate"
FL,bay county,white or caucasian,male,23.0,3.0,0.0,0.0,own,no [skip to q108],"over $80,000",some college,"no, did not evacuate"
FL,escambia county,white or caucasian,male,45.0,1.0,,,other,yes,,high school graduate,"no, did not evacuate"
FL,bay county,white or caucasian,male,31.0,4.0,2.0,0.0,rent,no [skip to q108],"$40,000 to $79,999",some college,"yes, evacuated"
FL,walton county,white or caucasian,female,21.0,3.0,1.0,0.0,own,yes,"$40,000 to $79,999",some college,"no, did not evacuate"
FL,inland counties,american indian,male,36.0,4.0,2.0,0.0,own,yes,"$40,000 to $79,999",some high school,"no, did not evacuate"
FL,monroe county,white or caucasian,male,63.0,1.0,,,own,no [skip to q108],"$40,000 to $79,999",post graduate,"no, did not evacuate"
FL,gulf county,white or caucasian,male,67.0,2.0,0.0,0.0,own,yes,"$25,000 to $39,999",some college,"no, did not evacuate"
FL,monroe county,white or caucasian,male,48.0,2.0,0.0,0.0,own,yes,"$15,000 to $24,999",high school graduate,"no, did not evacuate"
FL,escambia county,white or caucasian,female,61.0,2.0,0.0,0.0,own,yes,"less than $15,000",high school graduate,"no, did not evacuate"
FL,monroe county,white or caucasian,male,74.0,2.0,1.0,0.0,own,no [skip to q108],"$25,000 to $39,999",post graduate,"no, did not evacuate"
FL,walton county,white or caucasian,male,31.0,3.0,1.0,0.0,own,yes,,college graduate,"yes, evacuated"
FL,santa rosa county,white or caucasian,female,54.0,3.0,0.0,0.0,own,no [skip to q108],"$25,000 to $39,999",some college,"no, did not evacuate"
FL,okaloosa county,white or caucasian,female,25.0,3.0,0.0,0.0,rent,yes,"$25,000 to $39,999",post graduate,"yes, evacuated"
FL,santa rosa county,white or caucasian,female,43.0,2.0,0.0,0.0,own,yes,"$40,000 to $79,999",high school graduate,"no, did not evacuate"
FL,bay county,white or caucasian,female,54.0,4.0,0.0,1.0,own,yes,"$40,000 to $79,999",some college,"no, did not evacuate"
FL,franklin county,white or caucasian,male,58.0,2.0,0.0,1.0,own,yes,"over $80,000",post graduate,"no, did not evacuate"
FL,gulf county,white or caucasian,male,55.0,2.0,0.0,0.0,own,yes,"$40,000 to $79,999",high school graduate,"no, did not evacuate"
FL,gulf county,white or caucasian,male,60.0,3.0,0.0,0.0,own,yes,,some college,"yes, evacuated"
FL,okaloosa county,white or caucasian,female,,2.0,0.0,0.0,own,no [skip to q108],,high school graduate,"no, did not evacuate"
FL,franklin county,african american or black,female,53.0,3.0,0.0,0.0,own,yes,"over $80,000",high school graduate,"no, did not evacuate"
