index,state,county,no_01,no_02,no_03,no_other,yes_01,yes_02,yes_03,yes_other,evac
1,FL,franklin county,30,,,,,,,,"no, did not evacuate"
2,FL,santa rosa county,29,,,WE FELT IT WAS NOT NECESSARY,,,,,"no, did not evacuate"
3,FL,gulf county,5,,,,,,,,"no, did not evacuate"
4,FL,franklin county,,,,,experience in other storms,,,,"yes, evacuated"
5,FL,escambia county,28,,,,,,,,"no, did not evacuate"
6,FL,walton county,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
7,FL,santa rosa county,,,,,"other, specify",,,INTUITION,"yes, evacuated"
8,FL,escambia county,29,,,THIS IS MY HOME,,,,,"no, did not evacuate"
9,FL,bay county,,,,,advice or order by public safety officials,concerned strong winds would make house unsafe,,,"yes, evacuated"
10,FL,bay county,29,,,MEDIA WAS FALSE,,,,,"no, did not evacuate"
11,FL,santa rosa county,4,,,,,,,,"no, did not evacuate"
12,FL,monroe county,,,,,advice or order by elected officials,,,,"yes, evacuated"
13,FL,inland counties,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
14,FL,inland counties,1,,,,,,,,"no, did not evacuate"
15,FL,santa rosa county,29,,,WE HAVE SHELTERS NEAR BY,,,,,"no, did not evacuate"
16,FL,santa rosa county,,,,,"other, specify",,,EVACUATION AREA.  MOBILE HOME.,"yes, evacuated"
17,FL,inland counties,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
18,FL,escambia county,29,,,DIDN'T WANT TO,,,,,"no, did not evacuate"
19,FL,escambia county,6,,,,,,,,"no, did not evacuate"
20,FL,okaloosa county,1,officials seemed unsure whether evacuation was necessary,,,,,,,"no, did not evacuate"
21,FL,okaloosa county,,,,,advice or order by elected officials,,,,"yes, evacuated"
22,FL,santa rosa county,,,,,advice from friend or relative,,,,"yes, evacuated"
23,FL,escambia county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
24,FL,santa rosa county,29,,,DIDN'T WANT TO GO,,,,,"no, did not evacuate"
25,FL,bay county,30,,,,,,,,"no, did not evacuate"
26,FL,escambia county,5,,,,,,,,"no, did not evacuate"
27,FL,bay county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
28,FL,walton county,29,,,LIVE FURTHER INLAND.,,,,,"no, did not evacuate"
29,FL,inland counties,7,,,,,,,,"no, did not evacuate"
30,FL,monroe county,14,,,,,,,,"no, did not evacuate"
31,FL,gulf county,1,,,,,,,,"no, did not evacuate"
32,FL,monroe county,10,,,,,,,,"no, did not evacuate"
33,FL,escambia county,6,,,,,,,,"no, did not evacuate"
34,FL,monroe county,30,,,,,,,,"no, did not evacuate"
35,FL,walton county,,,,,advice from national weather service,,,,"yes, evacuated"
36,FL,santa rosa county,6,,,,,,,,"no, did not evacuate"
37,FL,okaloosa county,,,,,"other, specify",,,MY HUSBANDS BASE COMMANDER,"yes, evacuated"
38,FL,santa rosa county,25,,,,,,,,"no, did not evacuate"
39,FL,bay county,6,,,,,,,,"no, did not evacuate"
40,FL,franklin county,1,,,,,,,,"no, did not evacuate"
41,FL,gulf county,29,,,I DID NOT WORRY ABOUT IT,,,,,"no, did not evacuate"
