Age,Gender,r_white,r_black,r_native,r_hispanic,m_married,m_single,HouseholdSize,NumChd,Edu,Income,Owner,h_singlefam,h_mobile,CloseCoast,CloseWater,OfficialHurricWatch,OfficialEvac,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,SeeStormCond,SeeShopClose,SeePeerEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,DistCoast,DistRiver,DistLakeEvac
,1,1.0,0.0,0.0,,1.0,0.0,2,0,3,5,1,1.0,0.0,5,5,2,2,1,3,5,1,3,4,2,5,4,4,3,3,5,5,5,44819.777,489.475,
,0,1.0,0.0,0.0,,1.0,0.0,3,0,3,5,1,1.0,0.0,2,1,3,1,3,4,4,1,2,2,2,3,3,4,1,2,2,4,4,49855.082,2245.752,
,1,1.0,0.0,0.0,,0.0,0.0,2,1,4,3,1,1.0,0.0,5,5,4,5,5,5,5,3,5,5,4,5,5,5,3,4,1,3,4,40654.672,420.781,
,0,1.0,0.0,0.0,,1.0,0.0,3,0,4,4,1,1.0,0.0,1,1,1,1,1,5,3,1,4,1,1,1,3,1,1,4,1,1,1,40670.523,430.2,
,1,1.0,0.0,0.0,,1.0,0.0,4,2,3,4,1,1.0,0.0,5,5,4,5,5,5,3,3,3,5,3,3,5,3,2,3,1,1,2,44609.512,1165.749,
,1,0.0,1.0,0.0,,0.0,0.0,4,3,3,1,0,0.0,0.0,2,3,4,3,4,4,5,1,3,3,2,2,3,1,1,1,1,2,1,43094.848,1603.618,
,0,1.0,0.0,0.0,,0.0,0.0,1,0,5,3,1,1.0,0.0,5,4,3,5,5,5,5,1,3,4,4,4,4,2,5,3,1,5,1,42593.883,1722.192,
,0,1.0,0.0,0.0,,1.0,0.0,4,0,4,5,1,1.0,0.0,4,4,4,4,5,5,5,1,1,5,2,2,4,1,4,4,2,2,1,47494.922,3812.421,
,1,1.0,0.0,0.0,,0.0,1.0,4,2,1,2,0,1.0,0.0,4,3,1,3,4,4,3,1,2,3,2,2,4,2,1,1,3,4,2,43757.809,919.995,
,1,1.0,0.0,0.0,,1.0,0.0,3,0,2,3,1,0.0,0.0,3,3,3,2,1,5,1,1,4,5,2,2,2,1,1,3,2,5,5,47063.73,1295.4,
