# Age,Gender,Race,Marriage,HouseholdSize,NumChd,Edu,Income,Owner,HouseStruct,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,CloseCoast,CloseWater,SeeStormCond,SeeShopClose,SeePeerEvac,OfficialHurricWatch,OfficialEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,County,DistRiver,DistLake,DistCoast,Evac,EvacDay,EvacHour
50.0,2.0,3.0,1.0,2.0,0.0,3.0,5.0,2.0,1.0,1.0,3.0,5.0,1.0,3.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,1.0,489.475,22780.98,44819.777,2.0,1.0,22.0
47.0,1.0,3.0,1.0,3.0,0.0,3.0,5.0,2.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,2245.752,23358.447,49855.082,1.0,nan,nan
40.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,1.0,3.0,4.0,1.0,420.781,19834.66,40654.672,2.0,2.0,17.0
49.0,1.0,3.0,1.0,3.0,0.0,4.0,4.0,2.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,430.2,19850.783,40670.523,1.0,nan,nan
38.0,2.0,3.0,1.0,4.0,2.0,3.0,4.0,2.0,1.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1165.749,23805.074,44609.512,2.0,1.0,13.0
38.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,4.0,4.0,5.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1603.618,21172.402,43094.848,2.0,1.0,10.0
70.0,1.0,3.0,3.0,1.0,0.0,5.0,3.0,2.0,1.0,5.0,5.0,5.0,1.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,5.0,3.0,1.0,5.0,1.0,1.0,1722.192,20840.451,42593.883,2.0,2.0,nan
57.0,1.0,3.0,1.0,4.0,0.0,4.0,5.0,2.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,4.0,5.0,2.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,3812.421,26627.018,47494.922,1.0,nan,nan
30.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,919.995,22955.457,43757.809,1.0,nan,nan
48.0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0,1.0,4.0,3.0,3.0,5.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,5.0,5.0,1.0,1295.4,24384.635,47063.73,1.0,nan,nan
48.0,1.0,3.0,1.0,5.0,2.0,3.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,4780.929,27966.549,48835.188,2.0,2.0,14.0
17.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,4.0,5.0,2.0,2.0,3.0,4.0,3.0,5.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2295.921,16396.139,38072.91,1.0,nan,nan
34.0,2.0,3.0,1.0,3.0,1.0,3.0,5.0,2.0,1.0,4.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,2.0,3.0,4.0,5.0,2.0,2.0,5.0,5.0,1.0,1.0,2.0,1.0,424.999,22695.723,44389.984,1.0,nan,nan
88.0,2.0,3.0,4.0,1.0,0.0,2.0,4.0,2.0,1.0,5.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,178.867,22972.59,44069.281,2.0,2.0,11.0
48.0,1.0,3.0,1.0,3.0,0.0,3.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,5.0,1.0,759.196,21715.539,43006.012,2.0,2.0,15.0
91.0,2.0,3.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,5.0,5.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,680.455,22596.629,44756.313,2.0,2.0,7.0
84.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,1.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,883.504,21766.984,43273.336,2.0,2.0,18.0
43.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5057.998,27974.332,48847.383,2.0,3.0,12.0
50.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,1.0,10716.593,12868.191,40688.953,1.0,nan,nan
26.0,2.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,370.848,24500.219,45522.117,2.0,2.0,12.0
72.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,5.0,2.0,2.0,4.0,3.0,5.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,7754.563,14484.582,41059.02,1.0,nan,nan
41.0,1.0,3.0,1.0,4.0,2.0,2.0,5.0,2.0,1.0,2.0,5.0,3.0,1.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,8259.411,14354.077,41368.59,2.0,2.0,15.0
30.0,1.0,3.0,1.0,2.0,0.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1661.688,27104.725,49600.176,2.0,2.0,18.0
