Age,Gender,r_black,r_native,r_other,m_single,m_other,HouseholdSize,NumChd,e_someclg,e_clg,Income,Owner,h_mobile,h_other,CloseCoast,CloseWater,OfficialHurricWatch,OfficialEvac,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,SeeStormCond,SeeShopClose,SeePeerEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,Evac
4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,5.0,5.0,2.0,2.0,1.0,3.0,5.0,1.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,1.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,4.0,4.0,0.0
3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,1.0,3.0,4.0,1.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0
2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,1.0,5.0,1.0,1.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,0.0
2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,4.0,2.0,0.0
3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
