Age,Gender,r_white,r_black,r_native,m_married,m_single,HouseholdSize,NumChd,Edu,Income,Owner,h_singlefam,h_mobile,CloseCoast,CloseWater,OfficialHurricWatch,OfficialEvac,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,SeeStormCond,SeeShopClose,SeePeerEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,DistCoast,DistRiver,DistLake,Evac
50.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,5.0,1.0,1.0,0.0,5.0,5.0,2.0,2.0,1.0,3.0,5.0,1.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,44819.777,489.475,22780.98,1.0
47.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,5.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,4.0,4.0,49855.082,2245.752,23358.447,0.0
40.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,1.0,3.0,4.0,40654.672,420.781,19834.66,1.0
49.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,40670.523,430.2,19850.783,0.0
38.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,4.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,1.0,1.0,2.0,44609.512,1165.749,23805.074,1.0
38.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,43094.848,1603.618,21172.402,1.0
70.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,1.0,0.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,1.0,5.0,1.0,42593.883,1722.192,20840.451,1.0
57.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,5.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,47494.922,3812.421,26627.018,0.0
30.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,0.0,1.0,0.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,4.0,2.0,43757.809,919.995,22955.457,0.0
48.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,1.0,5.0,1.0,1.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,5.0,5.0,47063.73,1295.4,24384.635,0.0
48.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,5.0,1.0,1.0,0.0,5.0,4.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,48835.188,4780.929,27966.549,1.0
17.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,4.0,3.0,2.0,4.0,4.0,5.0,2.0,2.0,3.0,5.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,38072.91,2295.921,16396.139,0.0
34.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,5.0,5.0,1.0,1.0,2.0,44389.984,424.999,22695.723,0.0
88.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,2.0,4.0,5.0,4.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,44069.281,178.867,22972.59,1.0
48.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,4.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,5.0,43006.012,759.196,21715.539,1.0
91.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,3.0,2.0,3.0,2.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,5.0,44756.313,680.455,22596.629,1.0
84.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,1.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,43273.336,883.504,21766.984,1.0
43.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,5.0,5.0,5.0,3.0,1.0,5.0,2.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,48847.383,5057.998,27974.332,1.0
50.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,40688.953,10716.593,12868.191,0.0
26.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,45522.117,370.848,24500.219,1.0
72.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,4.0,1.0,5.0,2.0,1.0,5.0,4.0,3.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,41059.02,7754.563,14484.582,0.0
41.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,1.0,4.0,5.0,2.0,4.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,41368.59,8259.411,14354.077,1.0
30.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,49600.176,1661.688,27104.725,1.0
39.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,5.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,3.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,41234.691,7409.646,14783.296,0.0
27.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,4.0,1.0,0.0,1.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,1.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,44185.414,4170.642,18105.676,1.0
50.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,4.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,1.0,4.0,4.0,44186.727,4169.727,18106.861,1.0
52.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,5.0,1.0,1.0,0.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,3.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,42630.719,8077.185,15294.99,1.0
45.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,41303.707,7382.766,14827.767,1.0
42.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,5.0,1.0,1.0,0.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,44422.352,8263.983,16695.016,0.0
50.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,5.0,1.0,1.0,0.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,5.0,46784.465,6740.28,19172.506,0.0
47.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,5.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1.0,53181.414,10938.195,18796.188,0.0
47.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,5.0,1.0,1.0,0.0,4.0,3.0,4.0,5.0,1.0,5.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,52009.09,13156.357,19785.355,1.0
