q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q1a,q1b,q1c,q1d,q1e,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,q2k,q2l,q2m,q2n,q3
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24,2,3,1,3,1,3,3,2,4,1,5,3,1,5,1,1,5,3,4,4,5,2, ,5,5,2,4,5,2
50,2,3,1,2,0,3,5,2,1,1,3,5,1,3,5,5,4,2,5,2,2,4,4,3,3,5,5,5,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
70,2,3,4,1, ,2,3,2,1,5,5,5,1,5,5,5,5,5,5,5,5, ,1,5,5,3,1,5,2
47,1,3,1,3,0,3,5,2,1,3,4,4,1,2,2,1,2,2,3,3,1,3,4,1,2,2,4,4,1
40,2,3,4,2,1,4,3,2,1,5,5,5,3,5,5,5,5,4,5,4,5,5,5,3,4,1,3,4,2
49,1,3,1,3,0,4,4,2,1,1,5,3,1,4,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,1,3,1,5,2,3,4, ,1,5,5, ,3,2,5,5,5,5,4,3,5,1,1,1,1,1,1,2,2
38,2,3,1,4,2,3,4,2,1,5,5,3,3,3,5,5,5,3,3,4,5,5,3,2,3,1,1,2,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
65,1,3,1,2,0,2,2,2,1,5,5,5, , ,5,5, , , ,5,5, , , ,5, , ,5,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
38,2,1,3,4,3,3,1,1,2,4,4,5,1,3,2,3,3,2,2,4,3,3,1,1,1,1,2,1,2
48,2,3,1,2,1,5, ,2,1,5,5,5,1,5,2,5,5,5,5,5,5,5,5,5,5,1,3,5,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
66,2,3,4,1, ,3,3,2,1, ,5,5, ,5, ,5,5,5, ,5, ,5,5,5,5, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50,1,3,2,4,2,2,1,2,1,3,5,1,1,4,3,4,5,4,4,3, ,3,2,1,3,1,5,3,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
65,2, ,1,2,0, , ,2,1,2, , , , , , , , , ,3,3,3,3,3,4, ,4, ,1
74,2,5,1,2,0,2,4,2,1,2, , , ,2,2,2,4,3,3,3,3,2,2, ,2,1,1,1,2
70,1,3,3,1,0,5,3,2,1,5,5,5,1,3,5,4,4,4,4,3,5,4,2,5,3,1,5,1,2
57,1,3,1,4,0,4,5,2,1,5,5,5,1,1,4,4,5,2,2,4,4,4,1,4,4,2,2,1,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
86,2,3,4,1,0,5, ,2,1,1,1,1,1,5,4,4,3,3,3,3,3,4,4,3,3,1,1,1,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
78,1,1,4,1,0, ,1,2,1,3,3,3,1,2,2,2,4,4,3,3,3,3,3,2,2,1,1,1,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,2,2,1,5,3,4,4,2,2,3,3,3,2,2,3,4,2,2,2,2,4,2,1,2,3, ,2,2,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50,2,1,1,2,0,3,3,2,2,4,5,5,1,2,5,5,4,3,4, ,5,5,3,5,5,5,5,3,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,2,3,2,4,2,1,2,1,1,4,4,3,1,2,4,3,3,2,2,1,3,4,2,1,1,3,4,2,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43,2,1,2,3,2,2,2,2,1,2,3,4,1,3,3,3,4,2,3,2,4,2,1,1,2,2,1,2,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51,2,3,3,1,0,3,4,2,1,4,5, ,1,5,5,5,5,5,4,5,5,4,1,3,5,3,5,5,2
45,2,3, , , ,3, ,2,1,4,5,5,1,3,5,5,3,1,1,1,3,4,1,1,4,1,1,1,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48,2,3,1,3,0,2,3,2,2,1,5,1,1,4,3,3,5,2,2,3,2,2,1,1,3,2,5,5,1
77,1,3,1,2, ,1, ,2,1, ,4, , ,3, , , , , , , , , , , , , , ,1
73,2,3,4,1,0,3,3,2,1,5,5,5, ,5,5,5,1,1,5,5,5,5,1,1,1,1,1,5,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
44,2,3,1,5,3,1,5,2,1,3,5,5,1,3,5,5,5,5,5,5,5,5, ,2,3,1,1,3,2
48,1,3,1,5,2,3,5,2,1,2,1,1,1,2,5,4,5,1,1,5,5,5,3,1,1,1,1,4,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,2,3,2,3,1,1,4,2,1,4,5,2,2,3,4,3,5,1,3,2,4,2,1,1,3,1,2,2,1
34,2,3,1,3,1,3,5,2,1,4,5,5,2,2,5,5,5,2,3,4,5,2,2,5,5,1,1,2,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
88,2,3,4,1,0,2,4,2,1,5,4,1,1,4,4,1,3,3,4,2,4,2,2,1,1,1,1,2,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48,1,3,1,3,0,3,4,2,1,5,5,5,5,5,5,5,5,5,5,4,5,5,3,2,3,4,4,5,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
91,2,3,4,1,0,1,1,2,1,2,5,5,1,5,5,3,1,1,1,2,3,4,1,1,3,1,1,5,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
84,1,3,1,2,0,1,1,2,1,3,5,2,1,4,4,4,5,4,3,4,4,3,2,2,3,1,2,2,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39,2,3,1,3,1,3,5,2,2,1,3,4,1,4,5,5,1,1,2,4,5,2,1,1,1,1,1,1,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43,2,3,1,3,1,2,2,2,2,1,5,2,1,5,5,5,5,5,5,5,3,3,5,5,5,1,1,1,2
52,2,3,3,1, ,3,3,2,1,4,5,5,1,4,5,5,5,4,5,5,5,5,1,2,3,4,5,5,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
46,2,3,3,2,1,5,4,2,1,4,5,4,2,2,5,2,1,1,1,2,4,4,2,1,1,1,1,4,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
88,2,3,4,1,0,2, ,2,1, , , , , , , , , , , , , , , , , , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
35,1,3,1,4,2,4,4,2,1,2,5,5,5,3,5,4,4,3,3,4,4,3,3,2,3,2,2,4,2
66,1,3,1,2,0,3,4,2,1,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
