q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q1a,q1b,q1c,q1d,q1e,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,q2k,q2l,q2m,q2n,county,dist_river,dist_lake,dist_coast,q3
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,403.397,20439.568,41297.738, 
24,2,3,1,3,1,3,3,2,4,1,5,3,1,5,1,1,5,3,4,4,5,2, ,5,5,2,4,5,1,4190.788,27479.768,49256.727,2
50,2,3,1,2,0,3,5,2,1,1,3,5,1,3,5,5,4,2,5,2,2,4,4,3,3,5,5,5,1,489.475,22780.98,44819.777,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1421.309,23816.639,44642.637, 
70,2,3,4,1, ,2,3,2,1,5,5,5,1,5,5,5,5,5,5,5,5, ,1,5,5,3,1,5,1,303.433,20231.971,41090.703,2
47,1,3,1,3,0,3,5,2,1,3,4,4,1,2,2,1,2,2,3,3,1,3,4,1,2,2,4,4,1,2245.752,23358.447,49855.082,1
40,2,3,4,2,1,4,3,2,1,5,5,5,3,5,5,5,5,4,5,4,5,5,5,3,4,1,3,4,1,420.781,19834.66,40654.672,2
49,1,3,1,3,0,4,4,2,1,1,5,3,1,4,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,430.2,19850.783,40670.523,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3313.277,17481.854,39324.324, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1497.47,21116.613,42823.566, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1890.237,20828.127,42815.836, 
29,1,3,1,5,2,3,4, ,1,5,5, ,3,2,5,5,5,5,4,3,5,1,1,1,1,1,1,2,1,9080.255,19241.504,38805.582,2
38,2,3,1,4,2,3,4,2,1,5,5,3,3,3,5,5,5,3,3,4,5,5,3,2,3,1,1,2,1,1165.749,23805.074,44609.512,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,709.475,22069.76,43599.645, 
65,1,3,1,2,0,2,2,2,1,5,5,5, , ,5,5, , , ,5,5, , , ,5, , ,5,1,4047.341,18748.453,42286.359,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1408.085,20634.051,41356.805, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,9582.032,18108.223,37668.301, 
