"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","30IQTZXKAK6MM9YBI01QSGXJW720X1","AAL8OB6W37MCU","Submitted","Mon Nov 06 07:55:41 PST 2017","Mon Nov 06 08:08:13 PST 2017","Sat Nov 11 08:08:13 PST 2017","","","","752","0% (0/0)","0% (0/0)","0% (0/0)","535554"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","30JNVC0OR9KDOC3VUUDJ4007KZ8QHE","A2R89RXGEVG05I","Submitted","Thu Nov 02 17:13:57 PDT 2017","Thu Nov 02 17:18:28 PDT 2017","Tue Nov 07 16:18:28 PST 2017","","","","271","0% (0/0)","0% (0/0)","0% (0/0)","727498"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","30LSNF239UVWSOCUY1538U3J5QLI22","A1YK1P623MZGNF","Submitted","Sun Nov 05 16:34:04 PST 2017","Sun Nov 05 16:37:26 PST 2017","Fri Nov 10 16:37:26 PST 2017","","","","202","0% (0/0)","0% (0/0)","0% (0/0)","829597"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","30MVJZJNHMD3NJHZ1S5IUIQXNES9JA","A2LI0QVPKA5CG8","Approved","Wed Nov 01 12:07:42 PDT 2017","Wed Nov 01 12:21:31 PDT 2017","Mon Nov 06 11:21:31 PST 2017","2017-11-06 19:22:17 UTC","","","829","100% (1/1)","100% (1/1)","100% (1/1)","741202"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","30OG32W0SUBG15Z1O1DWF38PNXFNE8","A3JEGAN19QCEB5","Approved","Wed Nov 01 18:34:00 PDT 2017","Wed Nov 01 18:36:25 PDT 2017","Mon Nov 06 17:36:25 PST 2017","2017-11-07 01:37:17 UTC","","","145","100% (1/1)","100% (1/1)","100% (1/1)","904850"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","3137ONMDKG5ARDIF1X01PJZSMJPGEL","A2OO4PG3LBLP5I","Approved","Wed Nov 01 11:57:53 PDT 2017","Wed Nov 01 12:03:54 PDT 2017","Mon Nov 06 11:03:54 PST 2017","2017-11-06 19:04:18 UTC","","","361","100% (1/1)","100% (1/1)","100% (1/1)","508543"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","317HQ483I7SSHA1NKK3N0I6HF1GINS","A797UM4MBMLMK","Submitted","Thu Nov 02 17:53:51 PDT 2017","Thu Nov 02 17:57:51 PDT 2017","Tue Nov 07 16:57:51 PST 2017","","","","240","0% (0/0)","0% (0/0)","0% (0/0)","209585"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","3180JW2OT4CKMWFNY2S1I2LV2945JT","A1GW4IQHI78SKR","Submitted","Fri Nov 03 20:00:36 PDT 2017","Fri Nov 03 20:08:24 PDT 2017","Wed Nov 08 19:08:24 PST 2017","","","","468","0% (0/0)","0% (0/0)","0% (0/0)","355591"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","31IBVUNM9SZLFO86L3JT72N2L10VFJ","AIMOX7JU0IBW6","Approved","Wed Nov 01 19:05:14 PDT 2017","Wed Nov 01 19:09:33 PDT 2017","Mon Nov 06 18:09:33 PST 2017","2017-11-07 02:10:17 UTC","","","259","100% (1/1)","100% (1/1)","100% (1/1)","224987"
"3E22YV8GG16HBCQY7DO6LVB9T8BPNJ","34S6YYW6IUSWDMQBQWT79L9I7M8BSF","Short survey about your decision as to whether to evacuate or not in Hurricane Harvey","Targeted to people who live in the coastal area of Texas or Louisiana and were affected by Hurricane Harvey","survey, demographic, hurricane","$0.50","Wed Nov 01 11:55:09 PDT 2017","200","BatchId:2993240;OriginalHitTemplateId:920937340;","1200","432000","Sat Nov 11 10:55:09 PST 2017","","","31N2WW6R9RQ13F6N1TDNO7VJUFZF3U","ACSS93E03ZUGX","Approved","Wed Nov 01 11:59:04 PDT 2017","Wed Nov 01 12:01:59 PDT 2017","Mon Nov 06 11:01:59 PST 2017","2017-11-06 19:02:21 UTC","","","175","100% (1/1)","100% (1/1)","100% (1/1)","533385"
