StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q13_3_TEXT,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42_1,Q42_2,Q42_3,Q43,Q44,Code
12/7/2017 14:35,12/7/2017 14:38,IP Address,76.208.87.96,100,155,TRUE,12/7/2017 14:38,R_1IiuWEOSEVFXawK,,,,,28.39889526,-81.33699799,anonymous,EN,A lot,A great deal,A lot,A lot,A little,A little,No,,,,,,,Yes,A little,A little,A lot,A moderate amount,A lot,A lot,Evacuate,,"Evacuation expense (travel, lodging, etc.),No place to go (hotels, public shelters, friends' or family's places, etc.),Job obligations",A little,Increased my desire to leave,Yes,Before 2016 (Please specify the year),2005,Stay,Yes,32824,23,Male,Caucasian,Some college,"$25,000 to $40,000",2,No,No,No,Yes,32824,50 to 70 miles,Detached single family home,Brick or block,Rent,No,orange,No,,,,Yes,No,,,No,No,No,Yes,A21P1T8EW4NHOU,541158
12/7/2017 14:36,12/7/2017 14:40,IP Address,71.48.238.108,100,236,TRUE,12/7/2017 14:40,R_1rlI0qjx20HMqnW,,,,,28.73129272,-81.51580048,anonymous,EN,A moderate amount,A lot,A moderate amount,A moderate amount,A lot,A lot,Yes,A moderate amount,A moderate amount,A lot,A moderate amount,A great deal,A lot,Yes,A little,A moderate amount,A lot,A moderate amount,A lot,A moderate amount,Evacuate,Evacuate,"Having young children,Having pets,Evacuation expense (travel, lodging, etc.)",A moderate amount,Increased my desire to leave,Yes,2017 before Irma,,Stay,Yes,34465,31,Female,Caucasian,Some college,"$25,000 to $40,000",5,Yes,No,No,Yes,34434,More than 70 miles,Detached single family home,Other,Rent,No,citrus,,,,,No,No,,,Yes,No,Yes,Yes,a3bxt78qxfc6f3,123632
12/7/2017 14:35,12/7/2017 14:40,IP Address,73.0.15.236,100,290,TRUE,12/7/2017 14:40,R_3rGUdps99DuMuUk,,,,,26.45410156,-80.10410309,anonymous,EN,A moderate amount,A little,A moderate amount,A moderate amount,A little,A little,Yes,A moderate amount,None at all,A lot,A lot,A lot,A lot,Yes,A moderate amount,A moderate amount,A lot,A lot,A lot,A lot,Stay,Stay,"Having elderly family member(s),Evacuation expense (travel, lodging, etc.),No place to go (hotels, public shelters, friends' or family's places, etc.),Job obligations",A moderate amount,Increased my desire to leave,Yes,Before 2016 (Please specify the year),2005,Stay,Yes,33445,26,Male,African American,Some college,"$25,000 to $40,000",4,No,No,No,No,33445,1 to 10 mile,Detached single family home,Brick or block,Own,No,palm beach county,Yes,,"Radio or TV,Word of mouth (friends/relative/neighbor)",August 31th (Thursday),,No,,,No,No,Yes,Yes,A3L2FPKRD46FRW,922216
12/7/2017 14:36,12/7/2017 14:40,IP Address,152.231.47.18,100,274,TRUE,12/7/2017 14:40,R_dhEt5uSuOHYLLlD,,,,,12.15080261,-86.26830292,anonymous,EN,A little,A little,A little,A moderate amount,A moderate amount,A moderate amount,Yes,A lot,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Yes,A lot,A lot,A moderate amount,A little,A moderate amount,A moderate amount,Evacuate,Evacuate,"Having young children,Having pets,Evacuation expense (travel, lodging, etc.),Job obligations",A moderate amount,Increased my desire to leave,Yes,2016,,Stay,Yes,33326,29,Male,Caucasian,Some college,"$40,000 to $80,000",3,Yes,No,No,Yes,33326,30 to 50 miles,Detached single family home,Wood,Own,Yes,Broward,,,,,No,Yes,September 8th (Friday),Morning,No,No,No,Yes,A3ONQYYQDR68K6,124794
12/7/2017 14:38,12/7/2017 14:40,IP Address,138.128.246.20,100,109,TRUE,12/7/2017 14:40,R_2DOaRFrEr0aE4Yo,,,,,40.73910522,-73.98259735,anonymous,EN,A little,A moderate amount,A lot,A great deal,A lot,A moderate amount,Yes,A little,A moderate amount,None at all,A great deal,A moderate amount,A lot,Yes,A little,A moderate amount,A lot,A great deal,A moderate amount,A moderate amount,Stay,Evacuate,Having pets,A moderate amount,Increased my desire to leave,Yes,2017 before Irma,,Stay,Yes,90001,24,Male,African American,Some college,"$15,000 to $25,000",10,Yes,Yes,Yes,Yes,90001,10 to 30 miles,Duplex or triplex home,Wood,Own,Yes,USA,Yes,Mandatory (must),Word of mouth (friends/relative/neighbor),September 1st (Friday),Yes,Yes,September 2nd (Saturday),Afternoon,Yes,Yes,Yes,Yes,ACH337Q8X1SOI,500565
12/7/2017 14:37,12/7/2017 14:40,IP Address,12.218.182.74,100,193,TRUE,12/7/2017 14:40,R_3ELRpfkxGhqu41a,,,,,27.76780701,-80.60140228,anonymous,EN,A great deal,None at all,A great deal,A great deal,A great deal,A great deal,Yes,A great deal,A moderate amount,A moderate amount,A great deal,A great deal,A great deal,Yes,A great deal,A great deal,A great deal,A great deal,A great deal,A lot,Evacuate,,"Evacuation expense (travel, lodging, etc.)",A great deal,Increased my desire to leave,Yes,2016,,Stay,No,33064,33,Male,Caucasian,High school graduate,"$40,000 to $80,000",2,No,No,No,Yes,33064,1 to 10 mile,Duplex or triplex home,Brick or block,Own,Yes,broward,Yes,Voluntary (should),Word of mouth (friends/relative/neighbor),August 31th (Thursday),No,Yes,August 31th (Thursday),Evening,No,No,No,Yes,A2E2UARVOVDR9Y,488692
12/7/2017 14:38,12/7/2017 14:40,IP Address,104.185.97.239,100,146,TRUE,12/7/2017 14:40,R_2dARjkTnwyKXHus,,,,,30.66679382,-87.18499756,anonymous,EN,A great deal,A moderate amount,A lot,None at all,None at all,A moderate amount,No,,,,,,,Yes,A lot,A lot,None at all,A moderate amount,A great deal,A great deal,Stay,Stay,"Evacuation expense (travel, lodging, etc.)",A little,Decreased my desire to leave,No,,,,,32571,19,Male,Caucasian,Some college,"$25,000 to $40,000",1,No,No,No,No,32571,30 to 50 miles,Detached single family home,Brick or block,Own,Yes,santa rosa,Yes,Mandatory (must),Radio or TV,September 1st (Friday),Yes,No,,,No,No,No,No,A1TB0XEEPXJYP0,449974
12/7/2017 14:37,12/7/2017 14:40,IP Address,157.48.12.128,100,180,TRUE,12/7/2017 14:41,R_6nEMbiHQXYgnWgh,,,,,16.51669312,80.61669922,anonymous,EN,A great deal,A lot,A moderate amount,A lot,A lot,A moderate amount,Yes,A great deal,A great deal,A great deal,A moderate amount,A little,A little,Yes,A great deal,A great deal,A moderate amount,A moderate amount,A moderate amount,A little,Evacuate,Evacuate,Having young children,A moderate amount,Increased my desire to leave,Yes,2017 before Irma,,Stay,Yes,32827,24,Female,Caucasian,College graduate,"$40,000 to $80,000",3,Yes,No,Yes,Yes,32827,1 to 10 mile,Condo/apartment - 4 stories or less,Wood,Own,Yes,white,No,,,,No,No,,,Yes,Yes,Yes,Yes,A7HO8U70MUTUG,295035
12/7/2017 14:35,12/7/2017 14:41,IP Address,198.22.162.104,100,331,TRUE,12/7/2017 14:41,R_2Y6fXdPsrmShJc9,,,,,40.71110535,-73.94689941,anonymous,EN,A lot,A moderate amount,A lot,A great deal,A lot,A moderate amount,Yes,A lot,A great deal,A lot,A moderate amount,A lot,A great deal,Yes,A lot,A moderate amount,A lot,A great deal,A lot,A moderate amount,Stay,Stay,"Having young children,Having elderly family member(s),Having family member(s) with special needs,Having pets,Evacuation expense (travel, lodging, etc.),No transportation (cars, flights, public transportation, etc),No place to go (hotels, public shelters, friends' or family's places, etc.),Job obligations",A moderate amount,Increased my desire to leave,Yes,2016,,Stay,Yes,90001,22,Male,African American,College graduate,"$15,000 to $25,000",3,Yes,No,Yes,Yes,90001,10 to 30 miles,Condo/apartment - 4 stories or less,Wood,Rent,Yes,new york,Yes,Mandatory (must),Social media or internet,September 3rd (Sunday),Yes,Yes,September 3rd (Sunday),Morning,Yes,Yes,Yes,Yes,A3OCHRI3EXIVEG,697625
12/7/2017 14:34,12/7/2017 14:42,IP Address,199.244.51.91,100,487,TRUE,12/7/2017 14:42,R_3lYYkAAbDbWJqVT,,,,,40.76049805,-73.99330139,anonymous,EN,A moderate amount,A lot,A great deal,A lot,A moderate amount,A lot,Yes,A moderate amount,A lot,A great deal,A lot,A moderate amount,A lot,Yes,A moderate amount,A lot,A great deal,A lot,A moderate amount,A lot,Stay,Stay,"Having young children,Having elderly family member(s),Having family member(s) with special needs,Having pets,Evacuation expense (travel, lodging, etc.),No transportation (cars, flights, public transportation, etc),No place to go (hotels, public shelters, friends' or family's places, etc.),Job obligations",A little,Increased my desire to leave,Yes,2017 before Irma,,Stay,Yes,90016,29,Male,Hispanic,College graduate,"$15,000 to $25,000",6,Yes,Yes,No,Yes,90016,10 to 30 miles,Detached single family home,Brick or block,Own,Yes,USA,Yes,Mandatory (must),"Radio or TV,Social media or internet,Word of mouth (friends/relative/neighbor),Police/authorities came into the neighborhood,Text alerts  or phone calls from officials",August 31th (Thursday),Yes,Yes,September 1st (Friday),Morning,Yes,Yes,No,Yes,A5I4Y0GXJM69D,719066
