lon,lat,county,current_zipcode,preIrma_zipcode,coast_dist
-81.33699799,28.39889526,orange,32824,32824,50 to 70 miles
-81.51580048,28.73129272,citrus,34465,34434,More than 70 miles
-80.10410309,26.45410156,palm beach county,33445,33445,1 to 10 mile
-86.26830292,12.15080261,Broward,33326,33326,30 to 50 miles
-73.98259735,40.73910522,USA,90001,90001,10 to 30 miles
-80.60140228,27.76780701,broward,33064,33064,1 to 10 mile
-87.18499756,30.66679382,santa rosa,32571,32571,30 to 50 miles
80.61669922,16.51669312,white,32827,32827,1 to 10 mile
-73.94689941,40.71110535,new york,90001,90001,10 to 30 miles
-73.99330139,40.76049805,USA,90016,90016,10 to 30 miles
-80.14959717,26.02220154,boward,33020,33020,10 to 30 miles
,,Seminole,32708,32708,30 to 50 miles
,,duval,32065,32065,10 to 30 miles
-82.78839874,27.9098053,Pinellas,33716,45103,Within 1 mile
-82.78839874,27.9098053,Pinellas,33774,33774,Within 1 mile
-81.19760132,28.51060486,seminole,32828,32707,30 to 50 miles
,,Orange,32712,32712,30 to 50 miles
-72.03330231,9.983306885,Hamilton ,33032,33032,30 to 50 miles
-80.21700287,26.94670105,palm beach,33418,33418,30 to 50 miles
-82.73880005,28.23970032,Pasco,34653,34653,1 to 10 mile
-81.33309937,28.49150085,Orange,32801,32801,More than 70 miles
-77.08860016,-12.0677948,Broward,33020,33020,1 to 10 mile
-80.85230255,28.53109741,VOULUSIA,32114,32114,1 to 10 mile
-80.17870331,26.5171051,Palm Beach,33437,33437,10 to 30 miles
-82.09670258,29.16540527,Marion,34491,34491,30 to 50 miles
-81.27629852,28.68119812,seminole,32707,32792,30 to 50 miles
-81.08319855,28.65809631,Orange,32825,32825,30 to 50 miles
,,St Johns,32084,32084,Within 1 mile
-80.85230255,28.53109741,Brevard,32754,32754,1 to 10 mile
-80.22380066,26.1829071,broward,33321,33321,10 to 30 miles
-82.76249695,28.08590698,Pinellas,34683,34683,10 to 30 miles
-82.78839874,27.9098053,Pinellas,33709,33709,1 to 10 mile
-80.16249847,25.93319702,miami dade,33180,33180,10 to 30 miles
,,Monroe,33040,33040,Within 1 mile
-81.58719635,30.37030029,Duval,32277,32277,10 to 30 miles
,,Cutler Bay,33189,33157,1 to 10 mile
-82.02709961,26.69830322,Charlotte,33950,33950,10 to 30 miles
-80.21869659,26.34840393,Broward,33312,33312,1 to 10 mile
-81.31780243,28.75889587,SEMINOLE,32746,32746,10 to 30 miles
-80.34339905,25.98249817,Broward,33024,33024,10 to 30 miles
-81.3792038,28.53829956,St Lucie,34983,32792,1 to 10 mile
-81.35780334,28.51010132,St Lucie,34949,34949,Within 1 mile
-82.43139648,27.71009827,Hillsborough,33619,33573,1 to 10 mile
-81.62210083,28.63439941,Polk county ,33838,33838,50 to 70 miles
,,Volusia,32176,32176,Within 1 mile
,,Dade,33167,33167,30 to 50 miles
,,Hillsborough,33602,33602,10 to 30 miles
-82.47229767,27.93919373,Broward,33606,33024,Within 1 mile
-80.3423996,25.56759644,miami dade,33190,33190,Within 1 mile
-80.86560059,28.97819519,volusia,32168,32168,1 to 10 mile
-76.14679718,36.89289856,Duval,23455,32256,10 to 30 miles
-66.91670227,10.5,Miami dade,33172,33172,30 to 50 miles
-82.59049988,28.00639343,Hillsborough,33615,33615,10 to 30 miles
-97.8219986,37.75100708,Citrus,34436,34436,10 to 30 miles
-80.08550262,26.3453064,Palm Beach,33442,33442,1 to 10 mile
-80.23919678,25.89039612,Miami Dade,33147,33147,10 to 30 miles
,,broward,33327,33327,10 to 30 miles
-82.71360016,27.90539551,Pinellas,33760,33760,Within 1 mile
-82.32649994,27.86610413,HILLSBOROUGH,33610,33610,10 to 30 miles
-82.73760223,27.72070313,Pinellas,33707,33707,1 to 10 mile
-81.41880035,28.66529846,SEMINOLE,32714,32714,30 to 50 miles
-82.78839874,27.9098053,Pinellas,33756,33756,1 to 10 mile
-80.11100006,26.19059753,broward,33308,33308,1 to 10 mile
,,orange,32835,32835,30 to 50 miles
-82.63680267,27.38529968,Manatee,34228,34228,Within 1 mile
-81.89969635,26.55839539,Lee,33990,33993,10 to 30 miles
-81.55180359,28.48069763,Orange,32835,32835,50 to 70 miles
-73.97250366,40.84829712,pinellas,34677,34677,10 to 30 miles
,,Marion,34470,34470,30 to 50 miles
-80.26689911,26.21200562,Broward,33321,33321,1 to 10 mile
-87.21230316,30.53819275,escambia,32533,20755,10 to 30 miles
-81.55180359,28.48069763,Orange,32835,32835,30 to 50 miles
-80.22229767,26.0697937,Broward,33314,33314,1 to 10 mile
,,hillsborough,33601,33601,10 to 30 miles
,,Broward,33325,33325,10 to 30 miles
-81.40499878,30.28010559,Duval,32227,32227,Within 1 mile
,,Lake,32776,32776,More than 70 miles
-80.23329926,25.75289917,Dade,33145,33145,1 to 10 mile
,,Orange,32818,32818,50 to 70 miles
-81.85549927,28.73939514,Volusia County,34748,32763,30 to 50 miles
-80.71080017,28.14239502,brevard,32935,32935,10 to 30 miles
,,St Johns,32084,32084,1 to 10 mile
-80.67250061,28.46380615,Brevard,32953,32953,1 to 10 mile
-73.99749756,40.73080444,Pinellas,33713,33713,1 to 10 mile
-66.61669922,10.46670532,Miami Dade,33032,33032,More than 70 miles
-80.18170166,25.77409363,Miami Dade County,33169,33169,10 to 30 miles
-87.2173996,30.46209717,Escambia,32514,32506,1 to 10 mile
-111.917099,33.43569946,homestead,33032,33032,1 to 10 mile
,,Seminole,32765,32765,More than 70 miles
-80.08059692,26.57919312,Palm Beach,33406,33406,1 to 10 mile
,,Seminole,32771,43205,30 to 50 miles
-86.77700043,36.14729309,Miami Dade,33193,33025,10 to 30 miles
,,Pasco,34668,34668,More than 70 miles
-81.51499939,30.28660583,duval,32246,32246,10 to 30 miles
