age,gender,edu,income,househd_size,r_white,r_black,r_asian,r_hispanic,r_native,has_children,has_elders,has_special_needs,has_pets,hs_single_fam,hs_condo,hs_mobile,hm_wood,hm_brick,owner,insurance,coast_dist,risk_stay,risk_evac,wind_safety,wind_property,flood_safety,flood_property,evac_decision
31,1,2,4,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,4,2,3,2,2,5,5,0
28,1,3,3,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,5,5,2,4,2,3,3,0
30,0,3,1,3,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,2,5,5,5,5,5,5,1
44,1,1,3,7,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,3,3,3,4,4,4,4,0
26,0,3,2,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,3,2,3,3,5,4,0
31,1,3,3,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,5,2,1,1,5,5,0
32,0,3,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,4,3,3,3,3,5,5,0
31,0,3,3,3,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,3,5,3,4,4,5,5,0
27,0,4,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,5,2,1,3,3,3,2,0
24,1,2,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,2,3,4,4,3,4,3,0
40,0,1,3,3,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,5,4,3,4,4,5,5,0
22,0,2,2,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,4,4,3,4,4,4,4,0
32,1,2,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,3,2,4,4,3,3,0
31,0,2,2,3,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,4,3,2,3,4,4,5,0
25,1,3,4,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,5,2,3,3,3,2,2,0
25,0,3,4,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,5,2,2,1,2,2,2,0
33,1,3,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,5,5,3,5,5,5,5,1
27,1,3,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,5,4,5,4,4,5,1
26,0,3,2,4,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,3,4,3,4,4,5,5,1
38,0,1,4,6,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,3,5,2,5,5,5,5,1
28,0,3,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,4,2,3,4,2,3,0
38,1,4,4,3,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,5,3,3,3,3,3,3,0
28,0,2,2,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,4,4,2,3,3,4,3,0
40,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,1,3,1,2,1,3,0
23,0,1,4,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,3,4,2,3,3,4,3,0
