received_evac_notice,no_evac_notice,received_mandatory,received_voluntary,received_stay_notice,no_stay_notice,evac_notice_before_landfall,evac_notice_after_landfall,evac_decision
0,1,0,0,0,1,0,0,0
1,0,0,1,0,1,0,1,0
0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0
1,0,0,1,1,0,1,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1
1,0,1,0,0,1,1,0,1
0,1,0,0,1,0,0,0,1
1,0,1,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
1,0,0,1,0,1,1,0,0
1,0,0,1,0,0,0,1,1
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1
1,0,0,1,0,1,1,0,0
0,1,0,0,0,0,0,0,0
1,0,1,0,0,1,1,0,0
1,0,0,1,0,0,1,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,1
0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0
1,0,1,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0
1,0,0,1,0,1,0,1,1
0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0
1,0,0,1,0,1,1,0,0
1,0,0,1,0,1,1,0,1
1,0,0,1,0,1,1,0,1
0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0
1,0,0,1,0,1,1,0,1
0,1,0,0,0,1,0,0,1
0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0
1,0,0,1,0,1,0,0,1
0,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0
0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
1,0,0,1,1,0,1,0,0
0,1,0,0,0,0,0,0,0
1,0,0,1,0,1,1,0,1
1,0,0,1,0,1,1,0,1
0,1,0,0,1,0,0,0,0
1,0,0,1,0,1,1,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0
1,0,0,1,1,0,1,0,0
1,0,0,1,1,0,1,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0
1,0,0,1,0,1,1,0,1
0,1,0,0,1,0,0,0,0
1,0,0,1,0,0,1,0,0
0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0
1,0,0,1,1,0,1,0,0
0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,1
1,0,1,0,0,1,1,0,1
1,0,0,1,1,0,0,1,1
0,0,0,0,0,1,0,0,1
0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,1
1,0,0,1,0,1,0,0,1
0,1,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0
1,0,0,1,0,1,1,0,0
0,1,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1
1,0,0,1,0,1,1,0,1
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
1,0,1,0,0,1,1,0,1
0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,1,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0
1,0,0,1,0,1,1,0,1
0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1
